filename,lecture in question,lecture,raw from,raw to,from,to,text
week4_allquestions,4.3,4 - 3 - 3.3 Query Likelihood Retrieval Function (00-12-07).csv, 10'38",11'38",638,698, How do you determine which estimation method would be most effective to solve a particular problem?
week4_allquestions,4.7,4 - 7 - 3.5 Smoothing Methods Part - 2 (00-13-17).csv, 1'00",7'00",60,420, How do we pick the best values to use for lambda and mu when doing the smoothing?
week4_allquestions,4.1,4 - 1 - 3.1 Probabilistic Retrieval Model- Basic Idea (00-12-44).csv, 11'22" , 12'44",682,764, I am having trouble understanding why or how the R value helps NLP?
week4_allquestions,4.5,4 - 5 - 3.4 Smoothing of Language Model - Part 2 (00-09-36).csv, 1'30",1'52",90,112, Why is the log term of p(q|d) independent of the document?
week4_allquestions,4.3,4 - 3 - 3.3 Query Likelihood Retrieval Function (00-12-07).csv, 10’15”,10’20”,615,620, Why can we assume all words in a query are independent?
week4_allquestions,4.5,4 - 5 - 3.4 Smoothing of Language Model - Part 2 (00-09-36).csv, 2' 10",2' 50",130,170, Why do we ignore the last part of the log p(q | d) formula when ranking documents?
week4_allquestions,4.3,4 - 3 - 3.3 Query Likelihood Retrieval Function (00-12-07).csv, 2'20",3'23",140,203,$ Making the assumtion that each query word is generated independently seems weird because when a user creates a query, usually the words are not indpendent. Is anything used to try and bridge the gap between indpendently generated query words and actual queries?$
week4_allquestions,4.5,4 - 5 - 3.4 Smoothing of Language Model - Part 2 (00-09-36).csv, 4'48'',5'50'',288,350, Could you further explain the doc length normalization a little bit since I do remember it should be a term as a mutiply factor instead of addition factor.
week4_allquestions,4.2,4 - 2 - 3.2 Statistical Language Models (00-17-53).csv, 5'43",5'50",343,350, what is the probability exactly?
week4_allquestions,4.5,4 - 5 - 3.4 Smoothing of Language Model - Part 2 (00-09-36).csv, 4'15'',5'40'',255,340, How exactly does nlog(alpha_d) relate to doc length normalization?
week4_allquestions,4.2,4 - 2 - 3.2 Statistical Language Models (00-17-53).csv, 4'45",5'00",285,300, Why are there only n-1 parameters in the generative model?
week4_allquestions,4.7,4 - 7 - 3.5 Smoothing Methods Part - 2 (00-13-17).csv, 0'15",9'40",15,580,$ Between JM Smoothing and Dirichlet Prior Smoothing, which is better in which situation and what is the main difference between their ranking functions?$
week4_allquestions,4.3,4 - 3 - 3.3 Query Likelihood Retrieval Function (00-12-07).csv, 0'30",2'00",30,120,$ If the user poses a query not related to the document they just observed, wouldn't the query likelihood retrieval model be less accurate than basing results off the query itself?$
week4_allquestions,4.1,4 - 1 - 3.1 Probabilistic Retrieval Model- Basic Idea (00-12-44).csv, 8'40",9'00",520,540,$ In Query Likelihood Retrieval Model, does the language model ensure that the assumed probabilities for "imaginary documents" are sufficient?$
week4_allquestions,4.2,4 - 2 - 3.2 Statistical Language Models (00-17-53).csv, 5'00",5'08",300,308,$Why would we need the statistical language model to generate words for us, instead of sequences?$
week4_allquestions,4.6,4 - 6 - 3.5 Smoothing Methods Part - 1 (00-09-54).csv, 0'35",1'46",35,106, Query Likelihood+smoothing
week4_allquestions,4.2,4 - 2 - 3.2 Statistical Language Models (00-17-53).csv, 4'00" , 4'30",240,270, does the sequence of words matter in the query? Is it suggesting that querying "baseball game yesterday" is the same as querying "baseball yesterday game"?
week4_allquestions,4.5,4 - 5 - 3.4 Smoothing of Language Model - Part 2 (00-09-36).csv, 4'15",4'17",255,257, So what does IDF weighting have to do with this?
week4_allquestions,4.3,4 - 3 - 3.3 Query Likelihood Retrieval Function (00-12-07).csv, 06'40",07'50",400,470, I am confused as to what is meant by "sampling words from a doc model". May you clarify?
week4_allquestions,4.2,4 - 2 - 3.2 Statistical Language Models (00-17-53).csv, 1'45",2'11",105,131,$ if the probability of one word is too low, will it underfloat to 0? If yes, how to deal with this type of question?$
week4_allquestions,4.7,4 - 7 - 3.5 Smoothing Methods Part - 2 (00-13-17).csv, 11'00",13'00",660,780,$ Which one is better, JM smoothing or Dirichlet Prior smoothing?$
week4_allquestions,4.2,4 - 2 - 3.2 Statistical Language Models (00-17-53).csv, 7'36'',10'20'',456,620,Confused about ML Estimator.
