name,id,from,to,text
1 - 2 - Course Introduction (00-10-45).srt,1,0.109,1.8159999999999998,[MUSIC] 
1 - 2 - Course Introduction (00-10-45).srt,2,9.09,10.898,Text data is very special. 
1 - 2 - Course Introduction (00-10-45).srt,3,10.898,16.58,_In contrast to the data captured by machines such as sensors, _
1 - 2 - Course Introduction (00-10-45).srt,4,16.58,19.8,text data is produced by humans. 
1 - 2 - Course Introduction (00-10-45).srt,5,19.8,23.63,And they also are meant to be consumed by humans. 
1 - 2 - Course Introduction (00-10-45).srt,6,23.63,26.3,And this has some interesting consequences. 
1 - 2 - Course Introduction (00-10-45).srt,7,26.3,31.158,_Because it is produced by humans, it tends to have a lot of useful knowledge about _
1 - 2 - Course Introduction (00-10-45).srt,8,31.158,34.25,_people's' preferences, people's' opinions about everything. _
1 - 2 - Course Introduction (00-10-45).srt,9,35.58,38.26,And that makes it possible to mine 
1 - 2 - Course Introduction (00-10-45).srt,10,38.26,41.73,_text data to discover those latent prefaces of people, _
1 - 2 - Course Introduction (00-10-45).srt,11,41.73,46.1,which could be very useful to build an intelligent system to help people. 
1 - 2 - Course Introduction (00-10-45).srt,12,46.1,48.21,You can think about scientific literature or 
1 - 2 - Course Introduction (00-10-45).srt,13,48.21,53.49,so and it's a way to encode our knowledge about the world. 
1 - 2 - Course Introduction (00-10-45).srt,14,53.49,60.2,_So it's very high quality content, yet we have difficulty digesting all the content. _
1 - 2 - Course Introduction (00-10-45).srt,15,60.2,65.52,_Now as a result of the fact that text is consumed by we humans, _
1 - 2 - Course Introduction (00-10-45).srt,16,65.52,70.27,_we also need intelligent software tools to help people digest the content, or _
1 - 2 - Course Introduction (00-10-45).srt,17,70.27,73.28,otherwise we'd miss a lot of useful content. 
1 - 2 - Course Introduction (00-10-45).srt,18,73.28,79.36,This slide shows that the human really plays important role in test data mining. 
1 - 2 - Course Introduction (00-10-45).srt,19,79.36,81.81,_We have to consider human in the loop, and _
1 - 2 - Course Introduction (00-10-45).srt,20,81.81,84.61,we have to consider the fact that the text is generated by human. 
1 - 2 - Course Introduction (00-10-45).srt,21,87.05,90.52,_So, here are some examples of useful text information systems. _
1 - 2 - Course Introduction (00-10-45).srt,22,90.52,95.02000000000001,This is by no means a complete list of all applications. 
1 - 2 - Course Introduction (00-10-45).srt,23,95.02000000000001,98.03,I categorize them into different categories. 
1 - 2 - Course Introduction (00-10-45).srt,24,98.03,101.17,But you can probably imagine other kinds of applications. 
1 - 2 - Course Introduction (00-10-45).srt,25,101.17,102.43,So let's take a look at some of them. 
1 - 2 - Course Introduction (00-10-45).srt,26,102.43,105.72,_Search for example, we all know search engines is special. _
1 - 2 - Course Introduction (00-10-45).srt,27,105.72,109.24000000000001,_Web search engines, iPad, all of you are using Google, or Bing, or _
1 - 2 - Course Introduction (00-10-45).srt,28,109.24000000000001,111.47,another web search engine all the time. 
1 - 2 - Course Introduction (00-10-45).srt,29,111.47,114.0,And we also have live research assistants. 
1 - 2 - Course Introduction (00-10-45).srt,30,114.0,118.02000000000001,_And in fact, wherever you have a lot of text data, you would have a search engine. _
1 - 2 - Course Introduction (00-10-45).srt,31,118.02000000000001,120.965,_So for example, you might have a search box on your laptop. _
1 - 2 - Course Introduction (00-10-45).srt,32,120.965,123.46,_All right, to search content on your computer. _
1 - 2 - Course Introduction (00-10-45).srt,33,124.5,127.38,_So that's one kind of application systems, but _
1 - 2 - Course Introduction (00-10-45).srt,34,127.38,130.17,we also have filtering systems or recommended systems. 
1 - 2 - Course Introduction (00-10-45).srt,35,130.17,132.433,Those systems can push information to users. 
1 - 2 - Course Introduction (00-10-45).srt,36,132.433,135.47,They can recommend useful information to users. 
1 - 2 - Course Introduction (00-10-45).srt,37,135.47,139.05,_So again, use filters, spam filters. _
1 - 2 - Course Introduction (00-10-45).srt,38,139.05,140.97,Literature the movie recommenders. 
