name,id,from,to,text
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,1,8.412,14.785,This lecture is about document length normalization in the vector space model. 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,2,14.785,19.036,In this lecture we are going to continue the discussion of the vector space model 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,3,19.036,21.85,in particular we are going to discuss. 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,4,21.85,23.99,The issue of document length normalization. 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,5,25.85,28.73,_So far in the lectures about the vector space model, _
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,6,28.73,33.31,we have used the various signals from the document to 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,7,33.31,37.48,assess the matching of the document though with a preorder. 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,8,37.48,40.0,_In particular we have considered the term frequency, _
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,9,40.0,42.75,the count of a term in a document. 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,10,42.75,44.69,_We have also considered a, _
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,11,44.69,50.795,it's global statistics such as IDF in words document frequency. 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,12,50.795,53.605,But we have not considered a document length. 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,13,54.865,58.465,_So, here I show two example documents. _
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,14,58.465,61.01,D4 is much shorter with only 100 words. 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,15,61.01,65.37,_D6 on the other hand has 5,000 words. _
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,16,65.37,70.28,If you look at the matching of these query words we see that in D6 there 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,17,70.28,74.38,are more matchings of the query words but 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,18,74.38,80.689,one might reason that D6 may have matched these query words. 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,19,82.06,83.41,In a scattered manner. 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,20,84.44,90.06,So maybe the topic of d6 is not really about the topic of the query. 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,21,91.34,94.97999999999999,So the discussion of a campaign at the beginning of the document 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,22,94.97999999999999,98.739,may have nothing to do with the mention of presidential at the end. 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,23,100.81,104.6,_In general, if you think about the long documents, _
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,24,104.6,107.35,they would have a higher chance to match any query. 
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,25,107.35,112.66,_In fact, if you generate a, a long document that randomly sampling, _
2 - 9 - 1.9 Doc Length Normalization (00-18-56).srt,26,112.66,116.92,_sampling words from the distribution of words, _
