name,id,from,to,text
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,1,0.008,4.562,[SOUND] This lecture is about 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,2,4.562,12.683,the implementation of text retrieval systems. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,3,12.683,17.652,_In this lecture, we will discuss how we can implement a text retrieval method _
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,4,17.652,19.34,to build a search engine. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,5,19.34,23.603,The main challenge is to manage a lot of text data and 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,6,23.603,29.968,to enable a query to be answered very quickly and to respond to many queries. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,7,29.968,35.05,This is a typical text retrieval system architecture. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,8,35.05,39.06,We can see the documents are first processed by a tokenizer 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,9,39.06,43.77,_to get tokenizer units, for example words. _
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,10,43.77,45.835,And then these words or 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,11,45.835,51.445,_tokens would be processed by an indexer that would create an index, _
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,12,51.445,56.555,which is a data structure for the search engine to use to quickly answer a query. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,13,57.722,62.092,And the query will be going through a similar processing step. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,14,62.092,65.062,_So, the tokenizer will be apprised to query as well so _
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,15,65.062,69.392,that the text can be processed in the same way. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,16,69.392,71.809,The same units will be matched with each other. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,17,71.809,77.02,And the query's representation will then be given to the scorer. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,18,77.02,81.80799999999999,Which would use a index to quickly answer a user's query by 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,19,81.80799999999999,85.089,scoring the documents and then ranking them. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,20,85.089,87.83,The results will be given to the user. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,21,87.83,92.72999999999999,And then the user can look at the results and and provide some feedback that can be 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,22,92.72999999999999,97.779,_expressed judgements about which documents are good, which documents are bad, _
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,23,97.779,103.14,_or implicit feedback such as pixels so the user doesn't have to any, anything extra. _
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,24,103.14,106.856,The user will just look at the results and skip some and 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,25,106.856,109.013,click on some results to view. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,26,109.013,115.029,So these interaction signals can be used by the system to improve the ranking 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,27,115.029,121.92,accuracy by assuming that viewed documents are better than the skipped ones. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,28,121.92,125.81,_So, a search engine system then can be divided into three parts. _
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,29,125.81,130.265,_The first part is the indexer, and the second part is the scorer, _
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,30,130.265,133.105,that responds to the user's query. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,31,133.105,135.52,And the third part is the feedback mechanism. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,32,136.69,142.63,_Now typically, the indexer is done in the offline manner so you can pre-process _
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,33,142.63,148.14,the correct data and to build the inverter index which we will introduce in a moment. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,34,149.47,155.66,And this data structure can then be used by the online module which is a scorer 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,35,155.66,160.84,to process a user's query dynamically and quickly generate search results. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,36,160.84,164.92000000000002,The feedback mechanism can be done online or offline depending on the method. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,37,164.92000000000002,170.82999999999998,_The implementation of the index and the, the scorer is fairly standard, _
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,38,170.82999999999998,175.66,and this is the main topic of this lecture and the next few lectures. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,39,175.66,178.949,_The feedback mechanism, on the other hand has variations. _
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,40,178.949,181.516,It depends on what method is used. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,41,181.516,187.8,So that is usually done in a algorithm-specific way. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,42,189.04,190.67,Let's first talk about the tokenize. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,43,191.75,195.49,Tokenization is a normalize lexical units into the same form so 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,44,195.49,199.95499999999998,that semantically similar words can be matched with each other. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,45,199.95499999999998,204.91,Now in the language of English stemming is often used and 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,46,204.91,209.71,this what map all the inflectional forms of words into the same root form. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,47,209.71,212.29,_So for example, computer computation and _
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,48,212.29,217.25,computing can all be matched to the root form compute. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,49,217.25,222.64,_This way, all these different forms of computing can be matched with each other. _
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,50,223.97,227.96,Normally this is a good idea to increase 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,51,227.96,232.54,the coverage of documents that are matched with this query. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,52,232.54,236.73,But it's also not always beneficial 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,53,236.73,241.02,because sometimes the subtlest difference between computer and 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,54,241.02,247.03,computation might still suggest the difference in the coverage of the content. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,55,247.03,253.67,_But in most cases, stemming seems to be beneficial. _
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,56,253.67,260.09,_When we tokenize the text in some other languages, for example Chinese, we might _
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,57,260.09,265.53,face some special challenges in segmenting the text to find the word boundaries. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,58,265.53,267.68,_Because it's not ob, _
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,59,267.68,273.13,obvious where the boundary is as there's no space separating them. 
3 - 1 - 2.1 Implementation of TR Systems (00-21-27).srt,60,273.13,278.257,_So, here, of course, we have to use some language-specific _
