name,id,from,to,text
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,1,0.025,4.912,[SOUND] This lecture is about how to 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,2,4.912,10.108,evaluate the text retrieval system when 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,3,10.108,15.162,we have multiple levels of judgments. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,4,15.162,19.97,In this lecture we will continue the discussion of evaluation. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,5,19.97,23.46,We're going to look at how to evaluate the text retrieval system. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,6,23.46,26.15,And we have multiple level of judgements. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,7,27.46,31.18,_So, so far we have talked about binding judgements, _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,8,31.18,34.159,that means a documents is judged as being relevant or not-relevant. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,9,35.27,40.31,_But earlier we will also talk about, relevance as a matter of degree. _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,10,40.31,45.57,_So we often can distinguish it very higher relevant options, _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,11,45.57,50.23,_those are very useful options, from you know, lower rated relevant options. _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,12,50.23,53.0,_They are okay, they are useful perhaps. _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,13,53.0,55.0,And further from non-relevant documents. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,14,55.0,56.08,Those are not useful. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,15,56.08,57.5,Right? 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,16,57.5,61.48,So imagine you can have ratings for these pages. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,17,61.48,65.39,Then you would have much more levels of ratings. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,18,65.39,70.32,_For example, here I show an example of three levels, three were relevant. _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,19,70.32,72.37,_Sorry, three were very relevant. _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,20,72.37,75.77,Two for marginally relevant and one for non-relevant. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,21,75.77,80.43,Now how do we evaluate such a new system using these judgements of use of the map 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,22,80.43,83.33,_doesn't work, average of precision doesn't work, precision and _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,23,83.33,86.839,record doesn't work because they rely on vinyl judgement. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,24,88.19,93.215,So let's look at the sum top regular results when using these judgments. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,25,93.215,96.24000000000001,Right? Imagine the user would be mostly 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,26,96.24000000000001,98.06,care about the top ten results here. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,27,99.50999999999999,100.00999999999999,Right. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,28,102.975,106.32300000000001,And we mark the the rating levels or 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,29,106.32300000000001,111.5,relevance levels for these documents as shown here. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,30,111.5,114.63,_Three, two, one, one, three, et cetera. _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,31,114.63,116.22999999999999,And we call these gain. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,32,117.36,123.38,_And the reason why we call it a gain, is because the measure that _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,33,123.38,128.86,_we are infusing is called, NTCG, normalizer discount of accumulative gain. _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,34,130.09,134.9,_So this gain basically can mesh your, how much gain of random _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,35,134.9,139.85,_information a user can obtain by looking at each document, alright. _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,36,139.85,144.03,So looking after the first document the user can gain three points. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,37,144.03,148.93,Looking at the non-relevant document the user would only gain one point. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,38,148.93,151.1,Right. Looking at the multi-level relevant or 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,39,151.1,155.898,marginally relevant document the user would get two points et cetera. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,40,155.898,161.89,So this gain usually matches the utility of a document from a user's perspective. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,41,161.89,166.14,_Of course if we assume the user stops at the ten documents, and _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,42,166.14,171.05,we're looking at the cutoff at ten we can look after the total gain of the user. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,43,171.05,173.855,_And what's that, well that's simply the sum of these and _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,44,173.855,175.815,we call it the cumulative gain. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,45,175.815,179.405,So if we use a stops at the positua that's just a three. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,46,179.405,183.705,If the user looks at another document that's a 3 plus 2. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,47,183.705,185.87,If the user looks at the more documents. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,48,185.87,188.22,Then the cumulative gain is more. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,49,188.22,193.2,_Of course, this is at the cost of spending more time to examine the list. _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,50,193.2,196.32,So cumulative gain gives us some idea about 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,51,196.32,201.69,how much total gain the user would have if the user examines all these documents. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,52,201.69,208.13,_Now, in NDCG, we also have another letter here, D, discounted cumulative gain. _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,53,209.19,212.03,So why do we want to do discounting? 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,54,212.03,216.765,_Well, if you look at this cumulative gain, there is one deficiency which is _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,55,216.765,221.975,it did not consider the rank position of these these documents. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,56,221.975,226.215,_So, for example looking at the, this sum here _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,57,228.095,231.665,_and we only know there is only one highly relevant document, _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,58,231.665,234.945,_one marginally relevant document, two non-relevant documents. _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,59,234.945,237.55,We don't really care where they are ranked. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,60,237.55,240.72,_Ideally, we want these two to be ranked on the top. _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,61,240.72,243.1,Which is the case here. 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,62,243.1,246.33,But how can we capture that intuition? 
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,63,246.33,252.42,_Well we have to say, well this 3 here is not as good as this 3 on the top. _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,64,252.42,256.65,_And that means the contribution of, _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,65,256.65,262.75,_the game from different positions, has to be weight by their position. _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,66,262.75,265.21,_And this is the idea of discounting, basically. _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,67,265.21,269.53,_So, we're going to say, well, the first one, doesn't it need to be discounted _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,68,269.53,274.03,_because the user can be assume that you always see this document, but _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,69,274.03,278.03,_the second one, this one will be discounted a little bit, _
3 - 8 - 2.7 Evaluation of TR Systems- Multi-Level Judgements (00-10-48).srt,70,278.03,282.37,because there's a small possibility that the user wouldn't notice it. 
