name,id,from,to,text
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,1,0.012,3.295,[SOUND]. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,2,7.503,10.086,This lecture is about a statistical language model. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,3,12.378,14.205,_In this lecture, we're go, _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,4,14.205,18.415,we're going to get an introduction to the probabilistic model. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,5,18.415,23.305,This has to do with how many models have to go into these models. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,6,23.305,28.295,_So, it's ready to how we model theory based on a document. _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,7,31.378,34.743,_We're going to talk about, what is a language model and, then, we're going to _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,8,34.743,38.72,talk about the simplest language model called a unigram language model. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,9,38.72,42.76,Which also happens to be the most useful model for text retrieval. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,10,42.76,45.42,And finally we'll discuss possible uses of an m model. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,11,47.2,48.75,What is a language model? 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,12,48.75,53.57,_Well, it's just a probability distribution over word sequences. _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,13,53.57,54.5,_So, here I show one. _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,14,55.88,63.31,This model gives the sequence today's Wednesday a probability of 0.001 it gives 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,15,63.31,68.55,_today Wednesday is a very very small probability, because it's algorithmatical. _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,16,71.59,75.82,You can see the probabilities given to these sentences or 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,17,75.82,79.67,sequences of words can vary a lot depending on the model. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,18,79.67,82.78999999999999,_Therefore, it's clearly context-dependent. _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,19,82.78999999999999,84.1,_In ordinary conversation, _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,20,84.1,88.5,probably today is Wednesday is most popular among these sentences. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,21,88.5,92.08,_But imagine in the context of discussing a private math, _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,22,92.08,96.09,maybe the higher values positive would have a higher probability. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,23,97.18,101.08,This means it can be used to represent as a topic of a test. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,24,102.24000000000001,105.92,The model can also be regarded as a probabilistic mechanism for 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,25,105.92,111.66,_generating text, and this is why it is often called a generating model. _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,26,111.66,112.9,_So, what does that mean? _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,27,112.9,118.134,We can image this is a mechanism that's visualized 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,28,118.134,125.34,here as a [INAUDIBLE] system that can generate a sequences of words. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,29,125.34,128.09,So we can ask for a sequence and 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,30,128.09,132.48,it's to sample a sequence from the device if you want. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,31,132.48,136.06,_And it might generate, for example, today is Wednesday, but _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,32,136.06,138.37,it could have generated many other sequences. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,33,138.37,141.97,_So for example, there are many possibilities, right? _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,34,144.07999999999998,145.77,_So this, in this sense, _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,35,145.77,152.29,we can view our data as basically a sample observed from such a generated model. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,36,152.29,153.86,So why is such a model useful? 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,37,153.86,159.72,_Well, it's mainly because it can quantify the uncertainties in natural language. _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,38,159.72,161.2,Where do uncertainties come from? 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,39,161.2,164.82,_Well, one source is simply the ambiguity in _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,40,164.82,168.87,natural language that we discussed earlier in the lecture. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,41,168.87,172.24,Another source is because we don't have complete understanding. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,42,172.24,175.3,We lack all the knowledge to understand language. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,43,175.3,178.42000000000002,In that case there will be uncertainties as well. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,44,178.42000000000002,181.82,So let me show some examples of questions that we can answer with an average model 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,45,181.82,186.23,that would have an interesting application in different ways. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,46,186.23,188.789,Given that we see John and feels. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,47,189.99,192.97,How likely will we see happy as opposed to habit 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,48,192.97,194.83,as the next word in a sequence of words? 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,49,196.06,199.95,Obviously this would be very useful speech recognition because happy and 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,50,199.95,203.38,habit would have similar acoustical sound. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,51,203.38,205.18,Acoustic signals. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,52,205.18,210.165,But if we look at the language model we know that John feels happy would be 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,53,210.165,212.92000000000002,far more likely than John feels habit. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,54,215.713,219.332,_Another example, given that we observe baseball three times and _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,55,219.332,223.73,gained once in the news article how likely is it about the sports? 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,56,223.73,227.644,This obviously is related to text categorization and information. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,57,228.72,232.15,_Also, given that a user is interested in sports news, _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,58,232.15,235.56,how likely would the user use baseball in a query? 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,59,235.56,240.24,Now this is clearly related to the query that we discussed in the previous lecture. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,60,242.18,245.72,So now let's look at the simplest language model. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,61,245.72,247.91,_Called a lan, unigram language model. _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,62,247.91,249.69,_In such a case, _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,63,249.69,253.57,we assume that we generate the text by generating each word independently. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,64,254.76,259.38,So this means the probability of a sequence of words would be then 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,65,259.38,261.47,the product of the probability of each word. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,66,261.47,265.8,_Now normally they are not independent, right? _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,67,265.8,269.09,So if you have seen a word like language. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,68,269.09,272.2,_Now, we'll make it far more likely to observe model _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,69,272.2,273.57,than if you haven't seen language. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,70,275.46,277.78,So this assumption is not necessary sure but 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,71,277.78,279.9,we'll make this assumption to simplify the model. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,72,281.21,287.06,_So now, the model has precisely n parameters, where n is vocabulary size. _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,73,287.06,291.38,_We have one probability for each word, and all these probabilities must sum to 1. _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,74,291.38,297.45,_So strictly speaking, we actually have N minus 1 parameters. _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,75,300.27,300.88,_As I said, _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,76,300.88,306.28,text can be then be assumed to be a sample drawn from this word distribution. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,77,308.07,312.68,_So for example, now we can ask the device, or the model, _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,78,312.68,318.02,to stochastically generate the words for us instead of in sequences. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,79,318.02,321.33,_So instead of giving a whole sequence like today is Wednesday, _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,80,321.33,323.89,it now gives us just one word. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,81,323.89,326.2,And we can get all kinds of words. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,82,326.2,329.51,And we can assemble these words in a sequence. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,83,329.51,333.64,_So, that would still allows you to compute the probability of today is Wed _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,84,333.64,336.40999999999997,as the product of the three probabilities. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,85,337.42,341.74,_As you can see even though we have not asked the model to generate the, _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,86,341.74,346.82,the sequences it actually allows us to compute the probability for 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,87,346.82,348.49,all the sequences. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,88,348.49,353.56,But this model now only needs N parameters to characterize. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,89,353.56,356.37,That means if we specify all the probabilities for 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,90,356.37,361.85,all the words then the model's behavior is completely specified. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,91,361.85,365.11,_Whereas if you, we don't make this assumption we would have to specify. _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,92,365.11,369.71,Find probabilities for all kinds of combinations of words in sequences. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,93,371.83,376.72,_So by making this assumption, it makes it much easier to estimate these parameters. _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,94,376.72,378.65,So let's see a specific example here. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,95,379.81,385.57,Here I show two unigram lambda models with some probabilities and 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,96,385.57,387.98,these are high probability words that are shown on top. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,97,389.8,393.29,The first one clearly suggests the topic of text mining 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,98,393.29,397.02,because the high probability words are all related to this topic. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,99,397.02,398.69,The second one is more related to health. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,100,399.79,404.36,_Now, we can then ask the question how likely we'll observe a particular text _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,101,404.36,406.52,from each of these three models. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,102,406.52,409.92,_Now suppose with sample words to form the document, _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,103,409.92,413.15,let's say we take the first distribution which are the sample words. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,104,413.15,416.07,What words do you think it would be generated or maybe text? 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,105,416.07,418.28,Or maybe mining maybe another word? 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,106,418.28,418.78,_Even food, _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,107,418.78,422.31,_which has a very small probability, might still be able to show up. _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,108,423.88,426.89,_But in general, high probability words will likely show up more often. _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,109,428.13,431.2,So we can imagine a generated text that looks like text mining. 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,110,432.26,434.63,_A factor with a small probability, _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,111,434.63,439.89,you might be able to actually generate the actual text mining paper that 
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,112,439.89,444.4,_would actually be meaningful, although the probability would be very, very small. _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,113,446.1,450.39,_In the extreme case, you might imagine we might be able to generate a, _
4 - 2 - 3.2 Statistical Language Models (00-17-53) .srt,114,450.39,455.99,_a text paper, text mining paper that would be accepted by a major conference. _
