name,id,from,to,text
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,1,7.17,10.42,This lecture is about smoothing of language models. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,2,11.7,15.09,In this lecture we're going to continue talking about the probabilistic 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,3,15.09,16.12,retrieval model. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,4,16.12,20.53,_In particular, we're going to talk about smoothing of language model and _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,5,20.53,22.46,_the query likelihood of it, which will method. _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,6,23.8,26.71,So you have seen this slide from a previous lecture. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,7,26.71,30.45,This is the ranking function based on the query likelihood. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,8,32.53,35.76,Here we assume that the independence of generating each query word 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,9,38.94,42.0,and the formula would look like the following. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,10,42.0,48.23,Where we take a sum over all of the query words and inside is the sum there is 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,11,48.23,52.78,_a log of probability of a word given by the document, or document language model. _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,12,53.81,58.7,So the main task now is to estimate this document language model. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,13,59.94,62.11,As we said before different methods for 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,14,62.11,66.53,estimating this model would lead to different retrieval functions. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,15,66.53,70.8,_So, in this lecture we're going to look into this in more detail. _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,16,70.8,73.07,_So, how do I estimate this language model? _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,17,73.07,76.34,_Well, the obvious choice would be the Maximum Likelihood Estimate _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,18,76.34,77.99,that we have seen before. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,19,77.99,82.2,And that is we're going to normalize the word frequencies in the document. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,20,84.11,86.878,And the estimated probability would look like this. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,21,90.503,92.99000000000001,This is a step function here. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,22,96.14,99.6,Which means all the words that have the same frequency 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,23,99.6,101.97,count will have an equal probability. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,24,103.21000000000001,108.57,This is another frequency in the count that has a different probability. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,25,108.57,111.75,_Note that for words that have not occurred in the document here, _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,26,111.75,115.13,they all have zero probability. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,27,115.13,121.11,_So we know this is just like a model that we assume earlier in the lecture, where _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,28,121.11,127.65,we assume the user with the sample word from the document to formulate the query. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,29,129.19,133.39,And there is no chance of sampling any word that is not in the document. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,30,133.39,135.41,And we know that's not good. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,31,135.41,137.21,So how would we improve this? 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,32,137.21,143.1,_Well, in order to assign a non-zero probability _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,33,143.1,148.28,_to words that have not been observed in the document, we would have to take _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,34,148.28,155.19,away some probability to mass from the words that are observing the document. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,35,155.19,158.15,_So for example here, we have to take away some [INAUDIBLE] mass, _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,36,158.15,163.45,because we need some extra problem in the mass for the unseen words. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,37,163.45,165.25,_Otherwise, they won't sum to 1. _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,38,165.25,168.18,So all these probabilities must be sum to 1. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,39,168.18,173.81,_So to make this transformation, and to improve the maximum [INAUDIBLE]. _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,40,173.81,180.44,By assigning nonzero probabilities to words that are not observed in the data. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,41,181.97,187.42,_We have to do smoothing, and smoothing has to do with improving the estimate _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,42,187.42,192.37,_by considering the possibility that, if the author had been written. _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,43,193.9,199.02,_Helping, asking to write more words for the document. _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,44,199.02,202.91,_The user, the author might have rethink other words. _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,45,202.91,207.05,If you think about this factor then a smoothed LM model 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,46,207.05,210.82999999999998,would be a more accurate representation of the actual topic. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,47,210.82999999999998,215.27,Imagine you have seen abstract of such article. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,48,215.27,217.23,Let's say this document is abstract. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,49,218.47,219.26,Right. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,50,219.26,225.05,_If we assume and see words in this abstract we have or, _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,51,225.05,231.31,or probability of 0 that would mean it's no chance 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,52,231.31,237.17000000000002,of sampling a word outside the abstract that the formula to query. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,53,237.17000000000002,243.03,_But imagine the user who is interested in the topic of this abstract, the user might _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,54,243.03,248.48,actually choose a word that is not in the abstractor to to use as query. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,55,250.0,254.63,_So obviously if we had asked this author to write more, _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,56,254.63,258.97,the author would have written a full text of that article. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,57,258.97,263.45,So smoothing of the language model is attempted to 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,58,263.45,268.12,_to try to recover the model for the whole, whole article. _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,59,268.12,274.95,And then of course we don't have written knowledge about any words are not observed 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,60,274.95,279.25,_in the abstract there, so that's why smoothing is actually a tricky problem. _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,61,279.25,283.62,So let's talk a little more about how to smooth a LM word. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,62,283.62,288.53,The key question here is what probability should be assigned to those unseen words. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,63,290.07,290.58,Right. And 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,64,290.58,293.29,there are many different ways of doing that. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,65,293.29,296.12,_One idea here, that's very useful for _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,66,296.12,300.73,retrieval is let the probability of an unseen word be proportional 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,67,300.73,303.79,to its probability given by a reference language model. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,68,303.79,307.95,_That means if you don't observe the word in the data set, _
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,69,307.95,311.38,we're going to assume that its probability is kind of 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,70,312.4,316.31,governed by another reference language model that we were constructing. 
4 - 4 - 3.4 Smoothing of Language Model - Part 1 (00-12-15).srt,71,316.31,320.49,It will tell us which unseen words we have likely a higher probability. 
