name,id,from,to,text
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,1,0.0,6.657,[SOUND] This lecture is about 
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,2,6.657,10.606,learning to rank. 
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,3,10.606,14.731,_In this lecture, we're going to continue talking about web search. _
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,4,14.731,19.478,_In particular, we're going to talk about using machine running to combine definite _
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,5,19.478,21.799,features to improve ranking function. 
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,6,21.799,26.622,So the question that we address in this lecture is 
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,7,26.622,30.909,_how we can combine many features to generate a, _
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,8,30.909,35.963,a single ranking function to optimize search results. 
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,9,35.963,39.525,_In the previous lectures, we have talked about the, _
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,10,39.525,41.907,a number of ways to rank documents. 
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,11,41.907,47.142,_We have talked about some retrieval models, like a BM25 or clear light code. _
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,12,47.142,54.502,They can generate a content based scores for matching documents with a query. 
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,13,54.502,58.029,_And we also talked about the link-based approaches, _
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,14,58.029,63.176,like page rank that can give additional scores to help us improve ranking. 
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,15,63.176,67.029,Now the question now is how can we combine all these features and 
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,16,67.029,70.024,potentially many other features to do ranking? 
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,17,70.024,74.889,And this will be very useful for ranking web pages not only just to improve 
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,18,74.889,79.777,_accuracy, but also to improve the robustness of the ranking function. _
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,19,79.777,84.646,So that's it not easy for a spammer to just perturb a one or 
5 - 6 - 4.4 Learning to Rank Part 1 (00-13-09).srt,20,84.646,87.27799999999999,a few features to promote a page. 
