name,id,from,to,text
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,1,0.025,8.649000000000001,_[SOUND] So now let's take a look at the specific, _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,2,8.649000000000001,14.921,method that's based on regression. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,3,14.921,17.564,_Now this is one of the many different methods in fact, _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,4,17.564,19.94,it's the one of the simplest methods. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,5,19.94,24.55,And I choose this to explain the idea because it's it's so simple. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,6,26.36,34.33,So in this approach we simply assume that the relevance of a document 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,7,34.33,39.73,_with respect to the query, is related to a linear combination of all the features. _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,8,39.73,47.39,Here I used the Xi to emote the feature. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,9,47.39,51.76,So Xi of Q and D is a feature. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,10,51.76,54.72,_And we can have as many features as, we would like. _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,11,55.89,61.71,And we assume that these features can be combined in a linear manner. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,12,63.58,66.14,And each feature is controlled by a parameter here. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,13,66.14,70.78999999999999,_And this beta is a parameter, that's a weighting parameter. _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,14,70.78999999999999,76.08,A larger value would mean the feature would have a higher weight and 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,15,76.08,78.58,it would contribute more to the scoring function. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,16,78.58,83.62,The specific form of the function actually also involves 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,17,83.62,87.37,a transformation of the probability of relevance. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,18,87.37,89.399,So this is the probability of relevance. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,19,90.74,96.35,We know that the probability of relevance is within the range from 0 to 1. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,20,96.35,100.84,And we could have just assumed that the scoring function is 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,21,100.84,103.86,related to this linear combination. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,22,103.86,107.85,_Right, so we can do a, a linear regression but _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,23,107.85,113.9,then the value of this linear combination could easily go beyond 1. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,24,113.9,118.75800000000001,_So this transformation here would map ze, _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,25,118.75800000000001,125.706,0 to 1 range through the whole range of real values. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,26,125.706,128.33,_You can, you can verify it, it by yourself. _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,27,130.35,137.603,So this allows us then to connect to the probability of relevance 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,28,137.603,143.0,which is between 0 and 1 to a linear combination of arbitrary efficients. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,29,143.0,148.42000000000002,_And if we rewrite this into a probability function, we will get the next one. _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,30,148.42000000000002,154.299,_So on this side on this equation, we will have the probability of relevance. _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,31,155.46,158.23,_And on the right hand side, we will have this form. _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,32,159.46,162.62,Now this form is created non-active. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,33,162.62,166.57,And it still involves the linear combination of features. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,34,166.57,171.638,_And it's also clear that is, if this value is, _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,35,171.638,174.58100000000002,is. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,36,174.58100000000002,179.25,Of the linear combination in the equation above. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,37,179.25,183.31,_If this this, this value here, _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,38,185.78,192.19,if this value is large then it will mean this value is small. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,39,192.19,196.92000000000002,_And therefore, this probability, this whole probability, would be large. _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,40,196.92000000000002,198.53,And that's what we expect. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,41,198.53,202.95,_Basically, it would be if this combination gives us a high value, _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,42,202.95,205.234,then the document's more likely relevant. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,43,206.715,208.995,So this is our hypothesis. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,44,208.995,212.54500000000002,_Again, this is not necessarily the best hypothesis. _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,45,212.54500000000002,215.215,That this is a simple way to connect 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,46,215.215,219.109,these features with the probability of relevance. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,47,220.5,224.2,So now we have this this combination function. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,48,224.2,229.44,The next task is to see how we need to estimate the parameters so 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,49,229.44,232.67000000000002,that the function can truly be applied. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,50,232.67000000000002,233.59,Right. Without them knowing 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,51,233.59,238.52,_that they have values, it's, it's harder to apply this function, okay. _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,52,238.52,241.961,_So let's how we can estimate, beta values. _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,53,244.214,247.23,_All right. Let's take a look, at a simple example. _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,54,248.78,251.49,_In this example, we have three features. _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,55,251.49,255.07,One is BM25 score of the document under the query. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,56,255.07,259.06,_One is the page rank score of the document, which might or _
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,57,259.06,260.77,might not depend on the query. 
5 - 7 - 4.4 Learning to Rank - Part 2 (00-05-54).srt,58,260.77,264.66,_Hm, we might have a top sensitive page rank. _
