name,id,from,to,text
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,1,0.25,6.38,[SOUND]. 
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,2,6.38,13.22,_This lecture is about the syntagmatic relation discovery, and entropy. _
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,3,13.22,17.76,_In this lecture, we're going to continue talking about word association mining. _
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,4,17.76,22.42,_In particular, we're going to talk about how to discover syntagmatic relations. _
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,5,22.42,25.77,_And we're going to start with the introduction of entropy, _
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,6,25.77,29.86,which is the basis for designing some measures for discovering such relations. 
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,7,32.48,33.11,_By definition, _
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,8,33.11,39.89,syntagmatic relations hold between words that have correlated co-occurrences. 
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,9,39.89,44.19,_That means, when we see one word occurs in context, _
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,10,44.19,47.35,we tend to see the occurrence of the other word. 
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,11,48.37,53.56,_So, take a more specific example, here. _
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,12,53.56,55.47,_We can ask the question, _
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,13,55.47,59.75,_whenever eats occurs, what other words also tend to occur? _
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,14,61.14,66.0,_Looking at the sentences on the left, we see some words that might occur _
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,15,66.0,71.03,_together with eats, like cat, dog, or fish is right. _
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,16,71.03,75.87,But if I take them out and if you look at the right side where we 
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,17,75.87,81.55,_only show eats and some other words, the question then is. _
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,18,81.55,87.05,Can you predict what other words occur to the left or to the right? 
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,19,88.315,91.03999999999999,Right so this would force us to think about what 
2 - 10 - 1.10 Syntagmatic Relation Discovery- Entropy (00-11-00).srt,20,91.03999999999999,93.63,other words are associated with eats. 
