name,id,from,to,text
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,1,0.266,9.956,_[SOUND] So, _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,2,9.956,14.85,_looking at the text mining problem more closely, we see that the problem is _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,3,14.85,20.3,_similar to general data mining, except that we'll be focusing more on text data. _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,4,21.71,26.4,And we're going to have text mining algorithms to help us to turn text data 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,5,26.4,32.24,_into actionable knowledge that we can use in real world, _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,6,32.24,34.13,_especially for decision making, or _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,7,34.13,39.35,for completing whatever tasks that require text data to support. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,8,39.35,45.0,_Because, in general, in many real world problems of data mining _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,9,45.0,49.72,we also tend to have other kinds of data that are non-textual. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,10,49.72,54.95,So a more general picture would be to include non-text data as well. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,11,56.0,60.875,And for this reason we might be concerned with joint mining of text and 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,12,60.875,62.06,non-text data. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,13,62.06,65.86,_And so in this course we're going to focus more on text mining, _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,14,65.86,70.628,but we're also going to also touch how do to joint analysis of both text data and 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,15,70.628,72.45,non-text data. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,16,72.45,76.63,With this problem definition we can now look at the landscape of 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,17,76.63,79.419,the topics in text mining and analytics. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,18,81.01,85.77,Now this slide shows the process of generating text data in more detail. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,19,87.018,89.8,_More specifically, a human sensor or _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,20,89.8,93.42,human observer would look at the word from some perspective. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,21,94.66,98.82,Different people would be looking at the world from different angles and 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,22,98.82,101.21000000000001,they'll pay attention to different things. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,23,101.21000000000001,106.09,The same person at different times might also pay attention to different aspects 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,24,106.09,110.99000000000001,of the observed world. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,25,110.99000000000001,115.45,And so the humans are able to perceive the world from some perspective. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,26,115.45,121.48,_And that human, the sensor, would then form a view of the world. _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,27,121.48,125.15,And that can be called the Observed World. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,28,125.15,130.04,_Of course, this would be different from the Real World because of the perspective _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,29,130.04,134.83,that the person has taken can often be biased also. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,30,136.84,142.642,_Now the Observed World can be represented as, for example, _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,31,142.642,147.535,_entity-relation graphs or in a more general way, _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,32,147.535,151.89,using knowledge representation language. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,33,151.89,159.19,_But in general, this is basically what a person has in mind about the world. _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,34,159.19,163.8,_And we don't really know what exactly it looks like, of course. _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,35,163.8,168.25,But then the human would express what the person has 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,36,168.25,172.92000000000002,_observed using a natural language, such as English. _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,37,172.92000000000002,174.76,And the result is text data. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,38,175.87,180.61,Of course a person could have used a different language to express what he or 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,39,180.61,182.66,she has observed. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,40,182.66,188.22,In that case we might have text data of mixed languages or different languages. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,41,190.59,195.79,The main goal of text mining Is actually to revert this 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,42,195.79,199.28,process of generating text data. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,43,199.28,204.48,We hope to be able to uncover some aspect in this process. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,44,208.34,214.48,_Specifically, we can think about mining, for example, knowledge about the language. _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,45,215.56,220.13,_And that means by looking at text data in English, we may be able to discover _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,46,220.13,226.31,_something about English, some usage of English, some patterns of English. _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,47,227.78,232.34,_So this is one type of mining problems, where the result is _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,48,232.34,237.1,some knowledge about language which may be useful in various ways. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,49,238.92000000000002,240.62,_If you look at the picture, _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,50,240.62,246.38,we can also then mine knowledge about the observed world. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,51,246.38,250.03,And so this has much to do with mining the content of text data. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,52,251.49,255.64,_We're going to look at what the text data are about, and then try to _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,53,255.64,260.82,get the essence of it or extracting high quality information 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,54,260.82,265.6,about a particular aspect of the world that we're interested in. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,55,266.9,270.89,_For example, everything that has been said about a particular person or _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,56,270.89,271.63,a particular entity. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,57,271.63,276.55,And this can be regarded as mining content 
