name,id,from,to,text
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,1,0.3,3.38,[SOUND] 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,2,9.17,13.893,This lecture is about natural language 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,3,13.893,16.33,content analysis. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,4,16.33,21.51,Natural language content analysis is the foundation of text mining. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,5,21.51,23.78,So we're going to first talk about this. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,6,24.98,26.33,_And in particular, _
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,7,26.33,31.54,natural language processing with a factor how we can present text data. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,8,33.21,38.23,And this determines what algorithms can be used to analyze and mine text data. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,9,40.82,44.991,We're going to take a look at the basic concepts in natural language first. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,10,46.33,48.97,And I'm going to explain these concepts 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,11,48.97,52.6,using a similar example that you've all seen here. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,12,52.6,55.65,A dog is chasing a boy on the playground. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,13,55.65,58.31,Now this is a very simple sentence. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,14,58.31,61.16,When we read such a sentence we don't have to think 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,15,61.16,65.2,about it to get the meaning of it. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,16,65.2,69.46000000000001,_But when a computer has to understand the sentence, _
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,17,69.46000000000001,72.34,the computer has to go through several steps. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,18,73.43,76.532,_First, the computer needs to know what are the words, _
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,19,76.532,78.63,how to segment the words in English. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,20,78.63,82.01,_And this is very easy, we can just look at the space. _
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,21,82.01,86.136,_And then the computer will need the know the categories of these words, _
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,22,86.136,87.87,syntactical categories. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,23,87.87,94.50999999999999,_So for example, dog is a noun, chasing's a verb, boy is another noun etc. _
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,24,94.50999999999999,97.35,And this is called a Lexical analysis. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,25,97.35,101.59,_In particular, tagging these words with these syntactic categories _
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,26,101.59,103.27000000000001,is called a part-of-speech tagging. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,27,105.03,108.38300000000001,After that the computer also needs to figure out the relationship between 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,28,108.38300000000001,109.03999999999999,these words. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,29,109.03999999999999,113.3,So a and dog would form a noun phrase. 
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,30,113.3,117.59,_On the playground would be a prepositional phrase, etc. _
2 - 3 - 1.3 Natural Language Content Analysis- Part 1 (00-12-48).srt,31,117.59,121.378,And there is certain way for them to be connected together in order for 
