name,id,from,to,text
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,1,7.54,10.17,[SOUND] This lecture is about Text Representation. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,2,12.829,17.957,In this lecture we're going to discuss text representation and discuss how 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,3,17.957,23.659,natural language processing can allow us to represent text in many different ways. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,4,25.25,27.54,Let's take a look at this example sentence again. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,5,29.65,33.08,We can represent this sentence in many different ways. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,6,34.8,41.33,_First, we can always represent such a sentence as a string of characters. _
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,7,42.87,45.37,This is true for all the languages. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,8,45.37,48.13,When we store them in the computer. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,9,50.4,56.19,When we store a natural language sentence as a string of characters. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,10,56.19,61.39,We have perhaps the most general way of representing text since 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,11,61.39,64.71,we can always use this approach to represent any text data. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,12,66.01,71.092,But unfortunately using such a representation will not help us to 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,13,71.092,77.03999999999999,_semantic analysis, which is often needed for many applications of text mining. _
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,14,78.16,81.96000000000001,The reason is because we're not even recognizing words. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,15,81.96000000000001,89.48,So as a string we are going to keep all of the spaces and these ascii symbols. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,16,89.48,93.97999999999999,We can perhaps count out what's the most frequent character in 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,17,93.97999999999999,99.25999999999999,the English text or the correlation between those characters. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,18,99.25999999999999,104.0,_But we can't really analyze semantics, yet _
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,19,104.0,108.8,this is the most general way of representing text because we 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,20,108.8,113.75999999999999,hadn't used this to represent any natural language or text. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,21,113.75999999999999,118.62,If we try to do a little bit more natural language processing by 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,22,118.62,123.62,_doing word segmentation, then we can obtain a representation _
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,23,123.62,127.76,_of the same text, but in the form of a sequence of words. _
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,24,128.9,135.64,_So here we see that we can identify words, like a dog is chasing, etc. _
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,25,138.34,144.32,Now with this level of representation we suddenly can do a lot of things. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,26,144.32,149.32999999999998,And this is mainly because words are the basic units of human communication and 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,27,149.32999999999998,150.66,natural language. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,28,150.66,152.5,So they are very powerful. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,29,153.59,158.57,_By identifying words, we can for example, easily count what _
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,30,158.57,164.515,_are the most frequent words in this document or in the whole collection, etc. _
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,31,165.75,168.915,And these words can be used to form topics. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,32,168.915,173.548,When we combine related words together and some words positive and 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,33,173.548,177.196,some words are negatives or we can also do analysis. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,34,179.517,184.265,So representing text data as a sequence of words opens up a lot of interesting 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,35,184.265,185.98,analysis possibilities. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,36,187.68,192.36,_However, this level of representation is slightly less general than string of _
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,37,192.36,193.13,characters. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,38,193.13,200.97,_Because in some languages, such as Chinese, it's actually not that easy to _
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,39,200.97,206.53,_identified all the word boundaries, because in such a language you see _
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,40,206.53,210.78,text as a sequence of characters with no space in between. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,41,211.96,215.93,So you have to rely on some special techniques to identify words. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,42,217.99,223.88,In such a language of course then we might make mistakes in segmenting words. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,43,223.88,230.66,So the sequence of words representation is not as robust as string of characters. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,44,230.66,236.11,_But in English, it's very easy to obtain this level of representation. _
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,45,236.11,238.361,So we can do that all the time. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,46,241.681,246.445,Now if we go further to do in that round of processing we can add a part of 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,47,246.445,247.36,these text. 
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,48,248.95,253.84,_Now once we do that we can count, for example, the most frequent nouns or _
2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).srt,49,253.84,258.77,_what kind of nouns are associated with what kind of verbs, etc. _
