name,id,from,to,text
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,1,0.025,4.546,[SOUND] This lecture is 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,2,4.546,10.323,about the word association 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,3,10.323,15.1,mining and analysis. 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,4,15.1,19.884,_In this lecture, we're going to talk about how to mine _
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,5,19.884,22.902,associations of words from text. 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,6,22.902,27.9,Now this is an example of knowledge about the natural language that 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,7,27.9,29.96,we can mine from text data. 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,8,33.942,35.09,Here's the outline. 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,9,35.09,39.828,We're going to first talk about what is word association and 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,10,39.828,45.1,then explain why discovering such relations is useful and finally 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,11,45.1,50.07,we're going to talk about some general ideas about how to mine word associations. 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,12,50.07,55.209,In general there are two word relations and these are quite basic. 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,13,56.68,58.68,One is called a paradigmatic relation. 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,14,58.68,63.0,The other is syntagmatic relation. 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,15,63.0,67.78,A and B have paradigmatic relation 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,16,67.78,71.7,if they can be substituted for each other. 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,17,71.7,77.91,That means the two words that have paradigmatic relation 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,18,77.91,83.13,_would be in the same semantic class, or syntactic class. _
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,19,83.13,86.91,And we can in general replace one by the other 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,20,86.91,90.31,without affecting the understanding of the sentence. 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,21,90.31,93.81,That means we would still have a valid sentence. 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,22,93.81,101.53,_For example, cat and dog, these two words have a paradigmatic relation _
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,23,101.53,107.71000000000001,because they are in the same class of animal. 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,24,107.71000000000001,111.827,_And in general, if you replace cat with dog in a sentence, _
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,25,111.827,116.88,the sentence would still be a valid sentence that you can make sense of. 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,26,118.32,121.99,Similarly Monday and Tuesday have paradigmatical relation. 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,27,124.93,129.39,The second kind of relation is called syntagmatical relation. 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,28,130.61,137.2,_In this case, the two words that have this relation, can be combined with each other. _
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,29,137.2,142.19,So A and B have syntagmatic relation if they can be combined with each other in 
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,30,142.19,149.5,_a sentence, that means these two words are semantically related. _
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,31,150.72,156.82999999999998,_So for example, cat and sit are related because a cat can sit somewhere. _
2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).srt,32,158.06,163.87,_Similarly, car and drive are related semantically and _
