name,id,from,to,text
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,1,0.025,6.397,[SOUND] In this lecture we continue discussing 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,2,6.397,11.6,Paradigmatic Relation Discovery. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,3,11.6,17.15,Earlier we introduced a method called Expected Overlap of Words in Context. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,4,17.15,22.03,In this method we represent each context by a word of vector 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,5,22.03,26.62,that represents the probability of a word in the context. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,6,26.62,32.88,And we measure the similarity by using the dot product which can be interpreted as 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,7,32.88,38.88,the probability that two randomly picked words from the two contexts are identical. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,8,38.88,42.91,We also discussed the two problems of this method. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,9,42.91,47.09,The first is that it favors matching one frequent term 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,10,47.09,49.79,very well over matching more distinct terms. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,11,51.03,54.64,It put too much emphasis on matching one term very well. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,12,55.84,59.68,The second is that it treats every word equally. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,13,61.09,65.69,Even a common word like the would contribute equally 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,14,65.69,69.31,as content word like eats. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,15,69.31,74.08,So now we are going to talk about how to solve this problems. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,16,74.08,78.24,More specifically we're going to introduce some retrieval heuristics 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,17,78.24,83.21000000000001,used in text retrieval and these heuristics can effectively solve these 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,18,83.21000000000001,88.43,problems as these problems also occur in text retrieval when we match a query 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,19,88.43,93.2,_with a document, so to address the first problem, _
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,20,93.2,96.72999999999999,we can use a sublinear transformation of term frequency. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,21,96.72999999999999,101.19,_That is, we don't have to use raw frequency count of the term to represent _
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,22,101.19,102.45,the context. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,23,102.45,107.24000000000001,We can transform it into some form that wouldn't emphasize so much on the raw 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,24,107.24000000000001,113.42,_frequency to address the problem, we can put more weight on rare terms. _
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,25,113.42,115.69,_And that is, we ran reward a matching a rare word. _
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,26,115.69,121.4,And this heuristic is called IDF term weighting in text retrieval. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,27,121.4,124.28,IDF stands for inverse document frequency. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,28,125.96,130.54,So now we're going to talk about the two heuristics in more detail. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,29,130.54,134.31,_First, let's talk about the TF transformation. _
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,30,134.31,139.87,_That is, it'll convert the raw count of a word in the document into some weight _
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,31,139.87,145.5,that reflects our belief about how important this wording. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,32,145.5,146.21,The document. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,33,147.77,151.805,_And so, that would be denoted by TF of w and d. _
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,34,151.805,156.91,That's shown in the Y axis. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,35,156.91,160.24,_Now, in general, there are many ways to map that. _
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,36,160.24,163.45,And let's first look at the the simple way of mapping. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,37,164.92000000000002,171.82,_In this case, we're going to say, well, any non zero counts will be mapped to one. _
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,38,173.25,175.81,And the zero count will be mapped to zero. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,39,175.81,181.23,_So with this mapping, all the frequencies will be mapped to only two values, _
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,40,181.23,183.01,zero or one. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,41,183.01,187.694,And the mapping function is 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,42,187.694,193.0,shown here as a flat line here. 
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,43,193.0,197.4,_This is naive because in order the frequency of words, however, _
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,44,197.4,201.4,_this actually has advantage of emphasizing, _
2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).srt,45,203.01,206.0,matching all the words in the context. 
