name,id,from,to,text
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,1,0.012,8.224,[SOUND] So 
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,2,8.224,12.538,_this is indeed a general idea of the Expectation-Maximization, or EM, _
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,3,12.538,13.31,Algorithm. 
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,4,14.64,19.21,So in all the EM algorithms we introduce a hidden variable 
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,5,19.21,21.97,to help us solve the problem more easily. 
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,6,21.97,25.453,In our case the hidden variable is a binary variable for 
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,7,25.453,27.203,each occurrence of a word. 
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,8,27.203,32.02,And this binary variable would indicate whether the word has 
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,9,32.02,35.144,been generated from 0 sub d or 0 sub p. 
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,10,35.144,38.42,And here we show some possible values of these variables. 
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,11,38.42,43.47,_For example, for the it's from background, the z value is one. _
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,12,43.47,45.105,And text on the other hand. 
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,13,45.105,52.04,_Is from the topic then it's zero for z, etc. _
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,14,53.26,58.915,_Now, of course, we don't observe these z values, we just imagine they're all such. _
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,15,58.915,61.875,Values of z attaching to other words. 
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,16,62.905,64.975,And that's why we call these hidden variables. 
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,17,66.135,68.905,_Now, the idea that we talked about before for _
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,18,68.905,72.93,predicting the word distribution that has been used when we generate the word 
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,19,72.93,78.84,_is it a predictor, the value of this hidden variable? _
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,20,78.84,85.08,_And, so, the EM algorithm then, would work as follows. _
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,21,85.08,90.06,_First, we'll initialize all the parameters with random values. _
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,22,90.06,94.96000000000001,_In our case, the parameters are mainly the probability. _
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,23,94.96000000000001,97.84,_of a word, given by theta sub d. _
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,24,97.84,99.68,So this is an initial addition stage. 
3 - 11 - 2.11 Probabilistic Topic Models- Expectation-Maximization Algorithm- Part 2 (00-10-39).srt,25,99.68,104.15,These initialized values would allow us to use base roll to take a guess 
