name,id,from,to,text
3 - 14 - 2.14 Probabilistic Latent Semantic Analysis (PLSA)- Part 2 (00-10-15).srt,1,0.366,3.025,[SOUND] 
3 - 14 - 2.14 Probabilistic Latent Semantic Analysis (PLSA)- Part 2 (00-10-15).srt,2,8.261,11.1,We can compute this maximum estimate 
3 - 14 - 2.14 Probabilistic Latent Semantic Analysis (PLSA)- Part 2 (00-10-15).srt,3,11.1,12.823,by using the EM algorithm. 
3 - 14 - 2.14 Probabilistic Latent Semantic Analysis (PLSA)- Part 2 (00-10-15).srt,4,12.823,16.544,_So in the e step, we now have to introduce more hidden _
3 - 14 - 2.14 Probabilistic Latent Semantic Analysis (PLSA)- Part 2 (00-10-15).srt,5,16.544,21.536,_variables because we have more topics, so our hidden variable z now, _
3 - 14 - 2.14 Probabilistic Latent Semantic Analysis (PLSA)- Part 2 (00-10-15).srt,6,21.536,25.69,which is a topic indicator can take more than two values. 
3 - 14 - 2.14 Probabilistic Latent Semantic Analysis (PLSA)- Part 2 (00-10-15).srt,7,25.69,28.888,_So specifically will take a k plus one values, _
3 - 14 - 2.14 Probabilistic Latent Semantic Analysis (PLSA)- Part 2 (00-10-15).srt,8,28.888,32.2,with b in the noting the background. 
3 - 14 - 2.14 Probabilistic Latent Semantic Analysis (PLSA)- Part 2 (00-10-15).srt,9,32.2,35.527,_And once locate, to denote other k topics, right. _
3 - 14 - 2.14 Probabilistic Latent Semantic Analysis (PLSA)- Part 2 (00-10-15).srt,10,36.75,40.74,_So, now the e step, as you can recall is your augmented data, and _
3 - 14 - 2.14 Probabilistic Latent Semantic Analysis (PLSA)- Part 2 (00-10-15).srt,11,40.74,44.64,by predicting the values of the hidden variable. 
3 - 14 - 2.14 Probabilistic Latent Semantic Analysis (PLSA)- Part 2 (00-10-15).srt,12,44.64,47.7,So we're going to predict for 
3 - 14 - 2.14 Probabilistic Latent Semantic Analysis (PLSA)- Part 2 (00-10-15).srt,13,47.7,52.99,_a word, whether the word has come from one of these k plus one distributions. _
3 - 14 - 2.14 Probabilistic Latent Semantic Analysis (PLSA)- Part 2 (00-10-15).srt,14,52.99,57.02,This equation allows us to predict the probability 
