name,id,from,to,text
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,1,7.0,14.567,This lecture is about that Latent Dirichlet Allocation or LDA. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,2,14.567,17.885,_In this lecture, we are going to continue talking about topic models. _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,3,17.885,22.468,_In particular, we are going to talk about some extension of PLSA, _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,4,22.468,30.858,and one of them is LDA or Latent Dirichlet Allocation. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,5,30.858,33.765,So the plan for this lecture is to cover two things. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,6,33.765,37.73,One is to extend the PLSA with prior knowledge and that 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,7,37.73,41.795,_would allow us to have in some sense a user-controlled PLSA, _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,8,41.795,44.329,_so it doesn't apply to they just listen to data, _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,9,44.329,47.36,but also would listen to our needs. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,10,47.36,52.22,_The second is to extend the PLSA as a generative model, _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,11,52.22,54.158,a fully generative model. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,12,54.158,60.887,This has led to the development of Latent Dirichlet Allocation or LDA. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,13,60.887,64.52,_So first, let's talk about the PLSA with prior knowledge. _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,14,64.52,69.06,_Now in practice, when we apply PLSA to analyze text data, _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,15,69.06,74.66499999999999,we might have additional knowledge that we want to inject to guide the analysis. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,16,74.66499999999999,80.935,The standard PLSA is going to blindly listen to the data by using maximum [inaudible]. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,17,80.935,85.69,We are going to just fit data as much as we can and get some insight about data. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,18,85.69,87.155,_This is also very useful, _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,19,87.155,92.5,but sometimes a user might have some expectations about which topics to analyze. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,20,92.5,95.723,_For example, we might expect to see retrieval models as a topic in _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,21,95.723,100.531,_information retrieval or we also may be interesting in certain aspects, _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,22,100.531,103.745,_such as battery and memory, _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,23,103.745,106.5,when looking at opinions about a laptop because 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,24,106.5,110.075,the user is particularly interested in these aspects. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,25,110.075,115.16,A user may also have knowledge about topic coverage and we may 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,26,115.16,120.39,know which topic is definitely not covering which document or is covering the document. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,27,120.39,123.53,_For example, we might have seen those tags, _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,28,123.53,126.52,topic tags assigned to documents. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,29,126.52,129.8,And those tags could be treated as topics. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,30,129.8,133.275,If we do that then a document account will be generated using 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,31,133.275,137.42000000000002,topics corresponding to the tags already assigned to the document. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,32,137.42000000000002,139.087,_If the document is not assigned a tag, _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,33,139.087,145.925,we're going to say there is no way for using that topic to generate document. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,34,145.925,152.291,The document must be generated by using the topics corresponding to that assigned tags. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,35,152.291,155.835,So question is how can we incorporate such knowledge into PLSA. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,36,155.835,159.41,It turns out that there is a very elegant way of doing 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,37,159.41,164.235,that and that would incorporate such knowledge as priors on the models. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,38,164.235,167.19400000000002,_And you may recall in Bayesian inference, _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,39,167.19400000000002,169.935,we use prior together with data 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,40,169.935,174.185,to estimate parameters and this is precisely what would happen. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,41,174.185,175.207,_So in this case, _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,42,175.207,177.095,we can use maximum 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,43,177.095,182.73,a posteriori estimate also called MAP estimate and the formula is given here. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,44,182.73,186.23,_Basically, this is to maximize the posteriori distribution probability. _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,45,186.23,189.65,And this is a combination of the likelihood of data and the prior. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,46,189.65,193.895,So what would happen is that we are going to have an estimate 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,47,193.895,199.4,that listens to the data and also listens to our prior preferences. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,48,199.4,203.195,We can use this prior which is denoted as p of lambda 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,49,203.195,208.07,to encode all kinds of preferences and the constraints. 
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,50,208.07,211.615,_So for example, we can use this to encode _
3 - 15 - 2.15 Latent Dirichlet Allocation (LDA)- Part 1 (00-10-20).srt,51,211.615,215.87,the need of having precise background of the topic. 
