name,id,from,to,text
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,1,0.0,2.974,[MUSIC] 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,2,7.749,11.32,This lecture is about topic mining and analysis. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,3,12.76,17.13,We're going to talk about using a term as topic. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,4,17.13,20.7,This is a slide that you have seen in a earlier lecture 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,5,20.7,25.12,where we define the task of topic mining and analysis. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,6,25.12,30.7,_We also raised the question, how do we exactly define the topic of theta? _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,7,31.78,36.02,_So in this lecture, we're going to offer one way to define it, and _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,8,36.02,37.78,that's our initial idea. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,9,37.78,40.98,Our idea here is defining a topic simply as a term. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,10,42.02,44.2,A term can be a word or a phrase. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,11,45.24,49.5,_And in general, we can use these terms to describe topics. _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,12,49.5,54.2,So our first thought is just to define a topic as one term. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,13,54.2,58.82,_For example, we might have terms like sports, travel, or science, _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,14,58.82,59.44,as you see here. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,15,59.44,62.603,_Now if we define a topic in this way, _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,16,62.603,69.2,we can then analyze the coverage of such topics in each document. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,17,69.2,70.51,_Here for example, _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,18,70.51,75.56,we might want to discover to what extent document one covers sports. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,19,75.56,81.26,And we found that 30% of the content of document one is about sports. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,20,81.26,83.73,_And 12% is about the travel, etc. _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,21,83.73,88.88,We might also discover document two does not cover sports at all. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,22,88.88,91.24,_So the coverage is zero, etc. _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,23,92.63,99.03999999999999,_So now, of course, as we discussed in the task definition for _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,24,99.03999999999999,102.9,_topic mining and analysis, we have two tasks. _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,25,102.9,104.96000000000001,One is to discover the topics. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,26,104.96000000000001,108.11,And the second is to analyze coverage. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,27,108.11,111.55,So let's first think about how we can discover 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,28,111.55,115.08,topics if we represent each topic by a term. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,29,115.08,119.39,So that means we need to mine k topical terms from a collection. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,30,121.05,124.08,_Now there are, of course, many different ways of doing that. _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,31,125.67,128.617,_And we're going to talk about a natural way of doing that, _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,32,128.617,130.75,which is also likely effective. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,33,130.75,131.641,_So first of all, _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,34,131.641,136.655,we're going to parse the text data in the collection to obtain candidate terms. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,35,136.655,140.665,Here candidate terms can be words or phrases. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,36,140.665,145.475,Let's say the simplest solution is to just take each word as a term. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,37,145.475,149.145,These words then become candidate topics. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,38,149.145,152.79,Then we're going to design a scoring function to match how good each term 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,39,152.79,153.65,is as a topic. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,40,155.46,157.15,So how can we design such a function? 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,41,157.15,160.14,Well there are many things that we can consider. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,42,160.14,164.18,_For example, we can use pure statistics to design such a scoring function. _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,43,165.55,168.82,_Intuitively, we would like to favor representative terms, _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,44,168.82,173.95,meaning terms that can represent a lot of content in the collection. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,45,173.95,178.61,So that would mean we want to favor a frequent term. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,46,178.61,183.99,_However, if we simply use the frequency to design the scoring function, _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,47,183.99,187.982,then the highest scored terms would be general terms or 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,48,187.982,190.876,_functional terms like the, etc. _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,49,190.876,193.51,Those terms occur very frequently English. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,50,194.65,199.34,So we also want to avoid having such words on the top so 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,51,199.34,202.15,we want to penalize such words. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,52,202.15,206.48,_But in general, we would like to favor terms that are fairly frequent but _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,53,206.48,208.02,not so frequent. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,54,208.02,214.03,So a particular approach could be based on TF-IDF weighting from retrieval. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,55,215.14,217.23,And TF stands for term frequency. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,56,217.23,220.42000000000002,IDF stands for inverse document frequency. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,57,220.42000000000002,223.31,We talked about some of these 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,58,223.31,228.09,ideas in the lectures about the discovery of word associations. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,59,228.09,230.766,_So these are statistical methods, _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,60,230.766,236.28,meaning that the function is defined mostly based on statistics. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,61,236.28,239.07999999999998,So the scoring function would be very general. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,62,239.07999999999998,242.89,_It can be applied to any language, any text. _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,63,242.89,246.65,_But when we apply such a approach to a particular problem, _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,64,246.65,252.02,we might also be able to leverage some domain-specific heuristics. 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,65,252.02,256.815,_For example, in news we might favor title words actually general. _
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,66,256.815,261.34,We might want to favor title words because the authors tend to 
3 - 2 - 2.2 Topic Mining and Analysis- Term as Topic (00-11-31).srt,67,261.34,266.1,use the title to describe the topic of an article. 
