name,id,from,to,text
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,1,6.75,12.04,This lecture is about Probabilistic Topic Models for topic mining and analysis. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,2,13.35,14.11,_In this lecture, _
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,3,14.11,16.909,we're going to continue talking about the topic mining and analysis. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,4,18.19,20.49,We're going to introduce probabilistic topic models. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,5,22.41,26.14,_So this is a slide that you have seen earlier, _
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,6,26.14,30.64,where we discussed the problems with using a term as a topic. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,7,30.64,35.37,_So, to solve these problems intuitively we need to use _
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,8,35.37,37.95,more words to describe the topic. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,9,37.95,43.11,And this will address the problem of lack of expressive power. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,10,43.11,45.04,_When we have more words that we can use to describe the topic, _
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,11,45.04,49.88,that we can describe complicated topics. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,12,49.88,54.03,To address the second problem we need to introduce weights on words. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,13,54.03,59.14,_This is what allows you to distinguish subtle differences in topics, and _
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,14,59.14,64.6,to introduce semantically related words in a fuzzy manner. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,15,64.6,69.24,_Finally, to solve the problem of word ambiguity, we need to split _
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,16,69.24,74.7,_ambiguous word, so that we can disambiguate its topic. _
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,17,75.72,81.06,It turns out that all these can be done by using a probabilistic topic model. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,18,81.06,85.52,And that's why we're going to spend a lot of lectures to talk about this topic. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,19,85.52,88.13,_So the basic idea here is that, _
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,20,88.13,92.6,improve the replantation of topic as one distribution. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,21,92.6,95.65,So what you see now is the older replantation. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,22,95.65,100.72999999999999,_Where we replanted each topic, it was just one word, or one term, or one phrase. _
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,23,100.72999999999999,105.24000000000001,But now we're going to use a word distribution to describe the topic. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,24,105.24000000000001,107.11,So here you see that for sports. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,25,107.11,110.22,We're going to use the word distribution over 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,26,110.22,113.16,theoretical speaking all the words in our vocabulary. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,27,114.65,119.15,_So for example, the high probability words here are sports, _
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,28,119.15,123.88,_game, basketball, football, play, star, etc. _
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,29,123.88,126.1,These are sports related terms. 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,30,126.1,130.15,And of course it would also give a non-zero probability to some other word 
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,31,130.15,135.43,_like Trouble which might be related to sports in general, _
3 - 3 - 2.3 Topic Mining and Analysis- Probabilistic Topic Models (00-14-17).srt,32,135.43,137.42000000000002,not so much related to topic. 
