name,id,from,to,text
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,1,0.025,5.683,[SOUND] This lecture is a continued 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,2,5.683,13.37,discussion of probabilistic topic models. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,3,13.37,19.99,_In this lecture, we're going to continue discussing probabilistic models. _
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,4,19.99,24.97,We're going to talk about a very simple case where we 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,5,24.97,28.3,are interested in just mining one topic from one document. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,6,30.88,35.91,_So in this simple setup, we are interested in analyzing _
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,7,35.91,41.06,one document and trying to discover just one topic. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,8,41.06,44.81,So this is the simplest case of topic model. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,9,44.81,49.921,_The input now no longer has k, which is the number of topics because we _
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,10,49.921,55.67,_know there is only one topic and the collection has only one document, also. _
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,11,55.67,60.738,_In the output, we also no longer have coverage because _
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,12,60.738,66.15,we assumed that the document covers this topic 100%. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,13,66.15,70.532,So the main goal is just to discover the world of probabilities for 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,14,70.532,72.93,_this single topic, as shown here. _
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,15,74.77,79.275,_As always, when we think about using a generating model to solve such a problem, _
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,16,79.275,84.28,we start with thinking about what kind of data we are going to model or 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,17,84.28,88.88,from what perspective we're going to model the data or data representation. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,18,88.88,92.268,And then we're going to design a specific model for 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,19,92.268,96.52000000000001,_the generating of the data, from our perspective. _
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,20,96.52000000000001,101.31,Where our perspective just means we want to take a particular angle of looking at 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,21,101.31,105.7,_the data, so that the model will have the right parameters for _
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,22,105.7,108.77000000000001,discovering the knowledge that we want. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,23,108.77000000000001,114.21000000000001,And then we'll be thinking about the microfunction or 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,24,114.21000000000001,120.48,write down the microfunction to capture more formally how likely 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,25,120.48,124.86,a data point will be obtained from this model. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,26,125.9,130.37,And the likelihood function will have some parameters in the function. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,27,130.37,135.78,_And then we argue our interest in estimating those parameters for example, _
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,28,135.78,141.68,by maximizing the likelihood which will lead to maximum likelihood estimated. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,29,141.68,146.71,These estimator parameters will then become the output 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,30,146.71,151.64,_of the mining hours, which means we'll take the estimating _
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,31,151.64,155.32,parameters as the knowledge that we discover from the text. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,32,155.32,159.69,So let's look at these steps for this very simple case. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,33,159.69,165.97,Later we'll look at this procedure for some more complicated cases. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,34,165.97,170.17000000000002,_So our data, in this case is, just a document which is a sequence of words. _
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,35,170.17000000000002,172.52,Each word here is denoted by x sub i. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,36,172.52,176.8,Our model is a Unigram language model. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,37,176.8,183.42,A word distribution that we hope to denote a topic and that's our goal. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,38,183.42,188.95,_So we will have as many parameters as many words in our vocabulary, in this case M. _
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,39,189.95,194.58,And for convenience we're going to use theta sub i to 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,40,194.58,198.27,denote the probability of word w sub i. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,41,200.45,203.38400000000001,And obviously these theta sub i's will sum to 1. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,42,204.48,207.11,Now what does a likelihood function look like? 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,43,207.11,210.97,_Well, this is just the probability of generating this whole document, _
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,44,210.97,211.948,that given such a model. 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,45,211.948,216.92000000000002,Because we assume the independence in generating each word so the probability of 
3 - 6 - 2.6 Probabilistic Topic Models- Mining One Topic (00-12-21).srt,46,216.92000000000002,221.01,the document will be just a product of the probability of each word. 
