name,id,from,to,text
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,1,0.171,4.19,[MUSIC] 
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,2,6.708,10.47,This lecture is about the mixture of unigram language models. 
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,3,11.9,16.28,In this lecture we will continue discussing probabilistic topic models. 
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,4,16.28,20.95,_In particular, what we introduce a mixture of unigram language models. _
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,5,20.95,24.23,This is a slide that you have seen earlier. 
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,6,24.23,29.189,Where we talked about how to get rid of the background 
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,7,29.189,34.271,words that we have on top of for one document. 
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,8,36.54,38.44,_So if you want to solve the problem, _
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,9,38.44,44.09,it would be useful to think about why we end up having this problem. 
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,10,44.09,49.57,_Well, this obviously because these words are very frequent in our data and _
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,11,49.57,52.73,we are using a maximum likelihood to estimate. 
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,12,52.73,56.17,Then the estimate obviously would have to assign high probability for 
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,13,56.17,59.284,these words in order to maximize the likelihood. 
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,14,59.284,63.39,_So, in order to get rid of them that would mean we'd have to do something _
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,15,63.39,64.03,differently here. 
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,16,65.74,69.28999999999999,In particular we'll have to say this distribution 
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,17,69.28999999999999,72.3,doesn't have to explain all the words in the tax data. 
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,18,72.3,73.62,_What were going to say is that, _
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,19,73.62,79.76,these common words should not be explained by this distribution. 
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,20,79.76,85.75,So one natural way to solve the problem is to think about using another distribution 
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,21,85.75,89.35,to account for just these common words. 
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,22,89.35,93.94,_This way, the two distributions can be mixed together to generate the text data. _
3 - 7 - 2.7 Probabilistic Topic Models- Mixture of Unigram Language Models (00-12-39).srt,23,93.94,98.39,And we'll let the other model which we'll call background topic model 
