name,id,from,to,text
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,1,0.025,7.001,[SOUND] Now lets look at another behaviour of the Mixed Model and 
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,2,7.001,14.659,in this case lets look at the response to data frequencies. 
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,3,14.659,19.46,So what you are seeing now is basically the likelihood of function for 
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,4,19.46,24.62,the two word document and we now in this case the solution is text. 
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,5,24.62,28.75,A probability of 0.9 and the a probability of 0.1. 
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,6,28.75,31.31,Now it's interesting to 
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,7,31.31,35.7,think about a scenario where we start adding more words to the document. 
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,8,35.7,39.36,So what would happen if we add many the's to the document? 
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,9,41.34,44.38,_Now this would change the game, right? _
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,10,44.38,45.43,_So, how? _
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,11,45.43,50.41,_Well, picture, what would the likelihood function look like now? _
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,12,50.41,54.99,_Well, it start with the likelihood function for the two words, right? _
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,13,54.99,56.83,_As we add more words, we know that. _
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,14,56.83,59.8,But we have to just multiply the likelihood function by 
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,15,59.8,62.37,additional terms to account for the additional. 
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,16,62.37,64.06,occurrences of that. 
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,17,64.06,65.12,_Since in this case, _
3 - 9 - 2.9 Probabilistic Topic Models- Mixture Model Estimation- Part 2 (00-08-15).srt,18,65.12,69.67,_all the additional terms are the, we're going to just multiply by this term. _
