name,id,from,to,text
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,1,0.012,7.093,[SOUND] This 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,2,7.093,11.83,lecture is about the discriminative classifiers for text categorization. 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,3,13.0,15.84,In this lecture we're going to continue talking about how to 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,4,15.84,20.22,do text categorization and cover discriminative approaches. 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,5,20.22,24.76,_This is a slide that you have seen from the discussion of Naive Bayes Classifier, _
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,6,24.76,29.12,where we have shown that although Naive Bayes Classifier tries to model 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,7,29.12,34.09,_the generation of text data, from each categories, we can actually use Bayes' _
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,8,34.09,40.9,rule to eventually rewrite the scoring function as you see on this slide. 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,9,40.9,45.52,And this scoring function is basically a weighted combination of a lot 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,10,45.52,50.53,_of word features, where the feature values are word counts, and the feature weights _
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,11,50.53,55.72,are the log of probability ratios of the word given by two distributions here. 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,12,57.28,62.67,Now this kind of scoring function can be actually a general scoring 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,13,62.67,68.57,function where we can in general present text data as a feature vector. 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,14,68.57,72.34,Of course the features don't have to be all the words. 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,15,72.34,76.28,Their features can be other signals that we want to use. 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,16,76.28,82.88,And we mentioned that this is precisely similar to logistic regression. 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,17,82.88,87.57,_So, in this lecture we're going to introduce some discriminative classifiers. _
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,18,87.57,91.45,They try to model the conditional distribution of 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,19,91.45,96.99000000000001,labels given the data directly rather than using Bayes' rule 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,20,96.99000000000001,101.55,to compute that interactively as we have seen in naive Bayes. 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,21,101.55,107.15,So the general idea of logistic regression is to model 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,22,107.15,112.35,the dependency of a binary response variable Y 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,23,112.35,116.36,on some predictors that are denoted as X. 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,24,116.36,121.72,So here we have also changed the notation 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,25,121.72,126.12,to X for future values. 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,26,127.14,130.12,You may recall in the previous slides we have used 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,27,130.12,132.81,FI to represent the future values. 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,28,133.91,138.762,_And here we use the notation of X factor, _
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,29,138.762,143.331,which is more common when we introduce 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,30,143.331,147.64,such discriminative algorithms. 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,31,147.64,149.69,_So, X is our input. _
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,32,149.69,157.93,It's a vector with n features and each feature has a value x sub i here. 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,33,157.93,162.92000000000002,And I will go with a model that dependency of this binary response variable of 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,34,162.92000000000002,164.36,these features. 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,35,164.36,169.897,So in our categorization problem when I have two categories theta 1 and 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,36,169.897,175.183,_theta 2, and we can use the Y value to denote the two categories when Y is 1, _
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,37,175.183,180.08,_it means the category of the document, the first class, is theta 1. _
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,38,180.08,187.225,_Now, the goal here is the model, the conditional property of Y given X directly _
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,39,187.225,193.465,as opposed to model of the generation of X and Y as in the case of Naive Bayes. 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,40,193.465,195.985,And another advantage of this kind of approach is that 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,41,195.985,199.88,it would allow many other features than words to be used in this vector 
4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).srt,42,199.88,203.49,since we're not modeling the generation of this vector. 
