name,id,from,to,text
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,1,0.025,6.573,[SOUND] This lecture is a continued discussion 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,2,6.573,12.439,of evaluation of text categorization. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,3,12.439,18.302,Earlier we have introduced measures that can be used with computer provision and 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,4,18.302,19.92,recall. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,5,19.92,26.09,For each category and each document now in this lecture we're going to 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,6,27.68,32.53,further examine how to combine the performance of the different categories of 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,7,32.53,36.98,_different documents how to aggregate them, how do we take average? _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,8,36.98,41.22,You see on the title here I indicated it's called a macro average and 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,9,41.22,46.19,this is in contrast to micro average that we'll talk more about later. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,10,47.75,53.71,_So, again, for each category we're going to compute the precision require an f1 so _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,11,53.71,59.88,_for example category c1 we have precision p1, recall r1 and F value f1. _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,12,59.88,66.38,And similarly we can do that for category 2 and and all the other categories. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,13,66.38,71.05,_Now once we compute that and we can aggregate them, so for _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,14,71.05,73.84,example we can aggregate all the precision values. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,15,73.84,77.61,_For all the categories, for computing overall precision. _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,16,77.61,84.16,And this is often very useful to summarize what we have seen in the whole data set. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,17,84.16,86.78,And aggregation can be done many different ways. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,18,86.78,92.55,_Again as I said, in a case when you need to aggregate different values, _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,19,92.55,96.63,it's always good to think about what's the best way of doing the aggregation. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,20,96.63,101.75,_For example, we can consider arithmetic mean, which is very commonly used, or _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,21,101.75,106.18,_you can use geometric mean, which would have different behavior. _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,22,106.18,110.53999999999999,_Depending on the way you aggregate, you might have got different conclusions. _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,23,110.53999999999999,114.37,_in terms of which method works better, so it's important to consider these _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,24,114.37,120.86,differences and choosing the right one or a more suitable one for your task. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,25,120.86,123.77,So the difference fore example between arithmetically and 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,26,123.77,128.36,geometrically is that the arithmetically would be dominated by high 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,27,128.36,132.17,values whereas geometrically would be more affected by low values. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,28,132.17,136.94,Base and so whether you are want to emphasis low values or 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,29,136.94,142.04,high values would be a question relate with all you And 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,30,142.04,144.72,similar we can do that for recal and F score. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,31,144.72,149.4,_So that's how we can generate the overall precision, recall and F score. _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,32,151.66,156.99,Now we can do the same for aggregation of other all the document All right. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,33,156.99,160.3,So it's exactly the same situation for each document on our computer. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,34,160.3,162.34,_Precision, recall, and F. _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,35,162.34,167.13,_And then after we have completed the computation for all these documents, _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,36,167.13,171.59,_we're going to aggregate them to generate the overall precision, overall recall, and _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,37,171.59,172.49,overall F score. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,38,173.51,177.38,_These are, again, examining the results from different angles. _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,39,177.38,180.39,Which one's more useful will depend on your application. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,40,180.39,186.18,_In general, it's beneficial to look at the results from all these perspectives. _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,41,186.18,190.85,_And especially if you compare different methods in different dimensions, _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,42,190.85,196.37,it might reveal which method Is better in which measure or 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,43,196.37,199.82999999999998,in what situations and this provides insightful. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,44,199.82999999999998,203.07,Understanding the strands of a method or a weakness and 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,45,203.07,205.1,this provides further insight for improving them. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,46,208.26,212.18,_So as I mentioned, there is also micro-average _
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,47,212.18,215.89,in contrast to the macro average that we talked about earlier. 
4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).srt,48,215.89,221.11,_In this case, what we do is you pool together all the decisions, _
