name,id,from,to,text
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,1,0.217,6.963,[SOUND] This 
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,2,6.963,11.48,lecture is about generating probabilistic models for text clustering. 
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,3,13.86,17.73,_In this lecture, we're going to continue discussing text clustering, and _
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,4,17.73,21.74,we're going to introduce generating probabilistic models 
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,5,21.74,25.77,as a way to do text clustering. 
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,6,25.77,30.72,So this is the overall plan for covering text clustering. 
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,7,30.72,34.893,_In the previous lecture, we have talked about what is text clustering and _
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,8,34.893,37.062,why text clustering is interesting. 
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,9,37.062,40.607,_In this lecture, we're going to talk about how to do text clustering. _
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,10,40.607,44.707,_In general, as you see on this slide, there are two kinds of approaches. _
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,11,44.707,49.66,_One is generating probabilistic models, which is the topic of this lecture. _
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,12,49.66,52.259,_And later, we'll also discuss similarity-based approaches. _
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,13,53.84,58.53,_So to talk about generating models for text clustering, _
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,14,58.53,63.46,it would be useful to revisit the topic mining problem 
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,15,63.46,68.9,_using topic models, because the two problems are very similar. _
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,16,68.9,75.089,This is a slide that you have seen earlier in the lecture on topic model. 
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,17,75.089,79.827,Here we show that we have input of a text collection C and 
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,18,79.827,83.334,_a number of topics k, and vocabulary V. _
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,19,83.334,87.76,And we hope to generate as output two things. 
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,20,87.76,91.47800000000001,_One is a set of topics denoted by Theta i's, _
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,21,91.47800000000001,95.75,each is awarded distribution and the other is pi i j. 
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,22,95.75,102.12,These are the probabilities that each document covers each topic. 
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,23,102.12,107.19,So this is a topic coverage and it's also visualized here on this slide. 
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,24,107.19,111.279,You can see that this is what we can get by using a topic model. 
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,25,111.279,118.101,_Now, the main difference between this and the text clustering problem is that here, _
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,26,118.101,122.758,a document is assumed to possibly cover multiple topics. 
4 - 2 - 3.2 Text Clustering- Generative Probabilistic Models Part 1 (00-16-18).srt,27,122.758,127.946,_And indeed, in general, a document will be covering _
