name,id,from,to,text
4 - 8 - 3.8 Text Categorization- Methods (00-11-50).srt,1,6.8629999999999995,10.6,This lecture is about the methods for text categorization. 
4 - 8 - 3.8 Text Categorization- Methods (00-11-50).srt,2,12.65,16.16,So in this lecture we're going to discuss how to do text for categorization. 
4 - 8 - 3.8 Text Categorization- Methods (00-11-50).srt,3,19.643,24.259,_First, there're many methods for text categorization. _
4 - 8 - 3.8 Text Categorization- Methods (00-11-50).srt,4,25.69,30.3,In such a method the idea is to determine the category 
4 - 8 - 3.8 Text Categorization- Methods (00-11-50).srt,5,30.3,33.59,based on some rules that we design carefully 
4 - 8 - 3.8 Text Categorization- Methods (00-11-50).srt,6,33.59,37.56,to reflect the domain knowledge about the category prediction problem. 
4 - 8 - 3.8 Text Categorization- Methods (00-11-50).srt,7,37.56,42.66,_So for example, if you want to do topic categorization for news articles you _
4 - 8 - 3.8 Text Categorization- Methods (00-11-50).srt,8,42.66,48.75,_can say well, if the news article mentions word like a game and sports three times. _
4 - 8 - 3.8 Text Categorization- Methods (00-11-50).srt,9,48.75,55.65,That we're going to say it's about sports things like that and this would allow us 
4 - 8 - 3.8 Text Categorization- Methods (00-11-50).srt,10,55.65,59.909,to deterministically decide which category a document that should be put into. 
4 - 8 - 3.8 Text Categorization- Methods (00-11-50).srt,11,62.09,69.28999999999999,Now such a strategy would work well if the following conditions hold. 
4 - 8 - 3.8 Text Categorization- Methods (00-11-50).srt,12,69.28999999999999,74.14,First the categories must be very well defined and this allows the person to 
4 - 8 - 3.8 Text Categorization- Methods (00-11-50).srt,13,74.14,79.309,clearly decide the category based on some clear rules. 
4 - 8 - 3.8 Text Categorization- Methods (00-11-50).srt,14,81.7,84.42,A certainly the categories as 
4 - 8 - 3.8 Text Categorization- Methods (00-11-50).srt,15,85.6,91.31,half to be easy to distinguished at the based on a surface features in text. 
4 - 8 - 3.8 Text Categorization- Methods (00-11-50).srt,16,91.31,96.43,So that means some official features like keywords or 
