name,id,from,to,text
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,1,0.012,8.521,[SOUND] This lecture is 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,2,8.521,13.23,about how to use generative probabilistic models for text categorization. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,3,14.45,19.47,There are in general about two kinds of approaches to text categorization 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,4,19.47,20.58,by using machine learning. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,5,20.58,22.97,One is by generating probabilistic models. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,6,22.97,25.75,The other is discriminative approaches. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,7,25.75,29.74,_In this lecture, we're going to talk about the generative models. _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,8,29.74,34.46,_In the next lecture, we're going to talk about discriminative approaches. _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,9,34.46,36.99,So the problem of text categorization 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,10,36.99,39.4,is actually a very similar to document clustering. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,11,39.4,44.82,_In that, we'll assume that each document it belongs to one category or one cluster. _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,12,44.82,48.5,The main difference is that in clustering we don't really know 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,13,48.5,51.81,_what are the predefined categories are, what are the clusters. _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,14,51.81,54.66,_In fact, that's the goal of text clustering. _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,15,55.78,58.26,We want to find such clusters in the data. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,16,59.28,62.31,_But in the case of categorization, we are given the categories. _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,17,62.31,67.47,So we kind of have pre-defined categories and 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,18,67.47,71.81,_then based on these categories and training data, we would like to allocate _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,19,71.81,78.71000000000001,a document to one of these categories or sometimes multiple categories. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,20,78.71000000000001,81.16,_But because of the similarity of the two problems, _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,21,81.16,86.93,we can actually get the document clustering models for text categorization. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,22,86.93,90.63,And we understand how we can use generated models to do 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,23,90.63,95.93,text categorization from the perspective of clustering. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,24,95.93,101.62,_And so, this is a slide that we've talked about before, about text clustering, _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,25,101.62,107.55,where we assume there are multiple topics represented by word distributions. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,26,107.55,109.62,Each topic is one cluster. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,27,109.62,112.08,_So once we estimated such a model, _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,28,112.08,118.38,we faced a problem of deciding which cluster document d should belong to. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,29,118.38,124.26,And this question boils down to decide which theta i has been used to generate d. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,30,126.44,134.47,_Now, suppose d has L words represented as xi here. _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,31,134.47,141.22,_Now, how can you compute the probability that a particular _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,32,141.22,145.96,topic word distribution zeta i has been used to generate this document? 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,33,147.05,152.98,_Well, in general, we use base wall to make this influence and _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,34,152.98,160.167,you can see this prior information here that we need to consider if a topic or 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,35,160.167,164.846,cluster has a higher prior then it's more likely 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,36,164.846,169.92000000000002,that the document has been from this cluster. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,37,169.92000000000002,172.47,_And so, we should favor such a cluster. _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,38,172.47,174.96,_The other is a likelihood part, it's this part. _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,39,176.07999999999998,178.88,And this has to do with whether the topic word of distribution 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,40,178.88,182.37,can explain the content of this document well. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,41,182.37,187.73,And we want to pick a topic that's high by both values. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,42,187.73,190.81,_So more specifically, we just multiply them together and _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,43,190.81,194.65,then choose which topic has the highest product. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,44,194.65,198.74,_So more rigorously, this is what we'd be doing. _
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,45,198.74,202.63,So we're going to choose the topic that would maximize. 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,46,202.63,207.66,This posterior probability at the top of a given document gets posterior 
4 - 9 - 3.9 Text Categorization- Generative Probabilistic Models (00-31-18).srt,47,207.66,213.02,_because this one, p of the i, is the prior. _
