name,id,from,to,text
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,1,0.012,4.92,[SOUND] 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,2,7.211,10.243,This lecture is about using a time series 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,3,10.243,14.87,as context to potentially discover causal topics in text. 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,4,14.87,18.5,_In this lecture, we're going to continue discussing Contextual Text Mining. _
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,5,18.5,23.39,_In particular, we're going to look at the time series as a context for _
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,6,23.39,27.6,_analyzing text, to potentially discover causal topics. _
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,7,27.6,29.57,_As usual, it started with the motivation. _
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,8,29.57,34.45,_In this case, we hope to use text mining to understand a time series. _
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,9,34.45,39.43,_Here, what you are seeing is Dow Jones Industrial Average stock price curves. _
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,10,39.43,41.775,And you'll see a sudden drop here. 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,11,41.775,42.6,Right. 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,12,42.6,45.75,So one would be interested knowing what might have caused the stock 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,13,45.75,46.53,market to crash. 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,14,48.87,51.76,_Well, if you know the background, and you might be able to figure it out if you _
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,15,51.76,56.18,_look at the time stamp, or there are other data that can help us think about. _
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,16,56.18,60.39,But the question here is can we get some clues about this 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,17,60.39,62.76,from the companion news stream? 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,18,62.76,66.27,And we have a lot of news data that generated during that period. 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,19,68.19,72.12,So if you do that we might actually discover the crash. 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,20,72.12,76.48,_After it happened, at the time of the September 11 attack. _
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,21,76.48,81.27,And that's the time when there is a sudden rise of the topic 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,22,81.27,83.84,about September 11 happened in news articles. 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,23,86.1,92.02000000000001,Here's another scenario where we want to analyze the Presidential Election. 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,24,92.02000000000001,96.792,And this is the time series that are from the Presidential Prediction Market. 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,25,96.792,104.97999999999999,_For example, I write a trunk of market would have stocks for each candidate. _
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,26,104.97999999999999,109.66,And if you believe one candidate that will win then you tend to buy the stock for 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,27,109.66,113.97,_that candidate, causing the price of that candidate to increase. _
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,28,113.97,118.17,_So, that's a nice way to actual do survey of people's opinions about _
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,29,118.17,119.0,these candidates. 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,30,120.44,125.28,_Now, suppose you see something drop of price for one candidate. _
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,31,125.28,128.88,And you might also want to know what might have caused the sudden drop. 
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,32,130.29,136.14,_Or in a social science study, you might be interested in knowing what method _
5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).srt,33,136.14,140.93,_in this election, what issues really matter to people. _
