name,id,from,to,text
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,1,0.025,5.824,[NOISE] This lecture is about the ordinal 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,2,5.824,12.859,logistic regression for sentiment analysis. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,3,12.859,18.73,_So, this is our problem set up for a typical sentiment classification problem. _
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,4,18.73,21.46,Or more specifically a rating prediction. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,5,21.46,27.43,_We have an opinionated text document d as input, and we want to generate as output, _
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,6,27.43,30.77,a rating in the range of 1 through k so 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,7,30.77,37.11,_it's a discrete rating, and this is a categorization problem. _
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,8,37.11,38.96,We have k categories here. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,9,38.96,40.33,Now we could use a regular text for 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,10,40.33,42.95,categorization technique to solve this problem. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,11,42.95,48.89,But such a solution would not consider the order and dependency of the categories. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,12,48.89,53.4,_Intuitively, the features that can distinguish category 2 from 1, _
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,13,53.4,58.38,_or rather rating 2 from 1, may be similar to _
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,14,58.38,62.749,those that can distinguish k from k-1. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,15,62.749,68.61,_For example, positive words generally suggest a higher rating. _
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,16,68.61,71.95,When we train categorization 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,17,71.95,76.67,problem by treating these categories as independent we would not capture this. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,18,77.7,78.76,So what's the solution? 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,19,78.76,83.83,Well in general we can order to classify and there are many different approaches. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,20,83.83,86.33,And here we're going to talk about one of them that 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,21,86.33,89.03,called ordinal logistic regression. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,22,89.03,93.218,_Now, let's first think about how we use logistical regression for _
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,23,93.218,94.41,a binary sentiment. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,24,94.41,96.46000000000001,A categorization problem. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,25,96.46000000000001,100.7,So suppose we just wanted to distinguish a positive from a negative and 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,26,100.7,104.07,that is just a two category categorization problem. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,27,104.07,107.66,So the predictors are represented as X and these are the features. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,28,107.66,110.08,And there are M features all together. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,29,110.08,112.39,The feature value is a real number. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,30,112.39,115.36,And this can be representation of a text document. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,31,116.78999999999999,122.15,_And why it has two values, binary response variable 0 or 1. _
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,32,122.15,124.94,_1 means X is positive, 0 means X is negative. _
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,33,124.94,129.94,And then of course this is a standard two category categorization problem. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,34,129.94,131.99,We can apply logistical regression. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,35,131.99,137.62,_You may recall that in logistical regression, we assume the log _
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,36,137.62,142.82,_of probability that the Y is equal to one, is _
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,37,142.82,148.49,_assumed to be a linear function of these features, as shown here. _
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,38,148.49,155.0,_So this would allow us to also write the probability of Y equals one, given X _
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,39,156.03,161.82,in this equation that you are seeing on the bottom. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,40,163.02,167.30599999999998,So that's a logistical function and 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,41,167.30599999999998,172.421,_you can see it relates this probability to, _
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,42,172.421,177.97,probability that y=1 to the feature values. 
5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).srt,43,177.97,182.96,_And of course beta i's are parameters here, so this is _
