name,id,from,to,text
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,1,0.025,5.3629999999999995,[SOUND] This lecture is a continued 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,2,5.3629999999999995,12.997,discussion of Latent Aspect Rating Analysis. 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,3,12.997,18.44,_Earlier, we talked about how to solve the problem of LARA in two stages. _
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,4,18.44,22.44,But we first do segmentation of different aspects. 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,5,22.44,26.856,And then we use a latent regression model to learn the aspect ratings and 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,6,26.856,28.334,then later the weight. 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,7,28.334,33.372,Now it's also possible to develop a unified generative model for 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,8,33.372,35.478,_solving this problem, and _
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,9,35.478,41.36,that is we not only model the generational over-rating based on text. 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,10,41.36,45.03,_We also model the generation of text, and so _
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,11,45.03,47.41,a natural solution would be to use topic model. 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,12,47.41,49.35,_So given the entity, _
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,13,49.35,54.7,we can assume there are aspects that are described by word distributions. 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,14,54.7,55.83,Topics. 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,15,55.83,60.55,And then we an use a topic model to model the generation of the reviewed text. 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,16,61.592,67.045,I will assume words in the review text are drawn from these distributions. 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,17,68.475,72.265,In the same way as we assumed for generating model like PRSA. 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,18,73.605,78.47,And then we can then plug in the latent regression model to 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,19,78.47,83.71000000000001,use the text to further predict the overrating. 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,20,83.71000000000001,86.22,And that means when we first predict the aspect rating and 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,21,86.22,90.52,then combine them with aspect weights to predict the overall rating. 
5 - 5 - 4.5 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 2 (00-14-43).srt,22,90.52,94.28,_So this would give us a unified generated model, _
