name,id,from,to,text
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,1,0.401,7.552,[MUSIC] 
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,2,7.552,10.524000000000001,This lecture is about a specific technique for 
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,3,10.524000000000001,16.097,Contextual Text Mining called Contextual Probabilistic Latent Semantic Analysis. 
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,4,19.162,23.93,_In this lecture, we're going to continue discussing Contextual Text Mining. _
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,5,23.93,28.99,And we're going to introduce Contextual Probablitistic Latent Semantic Analysis 
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,6,28.99,32.63,as exchanging of POS for doing contextual text mining. 
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,7,34.39,40.31,_Recall that in contextual text mining we hope to analyze topics in text, _
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,8,40.31,42.285,in consideration of the context so 
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,9,42.285,46.95,that we can associate the topics with a property of the context were interesting. 
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,10,48.24,54.033,_So in this approach, contextual probabilistic latent semantic analysis, _
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,11,54.033,58.487,_or CPLSA, the main idea is to express to the add interesting _
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,12,58.487,61.89,context variables into a generating model. 
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,13,63.15,66.86,Recall that before when we generate the text we generally assume we'll start 
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,14,66.86,70.73,_wIth some topics, and then assemble words from some topics. _
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,15,70.73,78.13,_But here, we're going to add context variables, so that the coverage of topics, _
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,16,78.13,83.5,and also the content of topics would be tied in context. 
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,17,83.5,87.607,_Or in other words, we're going to let the context Influence both coverage and _
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,18,87.607,88.9,the content of a topic. 
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,19,91.172,97.37,The consequences that this will enable us to discover contextualized topics. 
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,20,97.37,101.32,_Make the topics more interesting, more meaningful. _
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,21,101.32,106.12,Because we can then have topics that can be interpreted as 
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,22,106.12,109.07,specifically to a particular context that we are interested in. 
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,23,109.07,110.59,_For example, a particular time period. _
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,24,112.02000000000001,115.63900000000001,_As an extension of PLSA model, _
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,25,115.63900000000001,121.33,CPLSA does the following changes. 
5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).srt,26,121.33,125.77,Firstly it would model the conditional likelihood of text given context. 
