name,id,from,to,text
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,1,0.025,5.098,[SOUND] This lecture is about 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,2,5.098,9.728,how to mine text data with 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,3,9.728,15.028,social network as context. 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,4,15.028,18.4,In this lecture we're going to continue discussing contextual text mining. 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,5,18.4,25.0,_In particular, we're going to look at the social network of others as context. _
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,6,26.16,31.67,_So first, what's our motivation for using network context for analysis of text? _
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,7,32.97,36.44,The context of a text article can form a network. 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,8,37.46,40.47,For example the authors of research articles 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,9,40.47,42.0,might form collaboration networks. 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,10,44.14,48.3,But authors of social media content might form social networks. 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,11,48.3,51.91,_For example, in Twitter people might follow each other. _
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,12,51.91,60.57,_Or in Facebook as people might claim friends of others, etc. _
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,13,60.57,67.94,So such context connects the content of the others. 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,14,67.94,72.422,_Similarly, locations associated with text can also be connected to form _
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,15,72.422,73.952,geographical network. 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,16,73.952,78.507,But in general you can can imagine the metadata of the text data 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,17,78.507,82.809,can form some kind of network if they have some relations. 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,18,84.55,89.65,Now there is some benefit in jointly analyzing text and 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,19,89.65,94.45,its social network context or network context in general. 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,20,94.45,100.59,And that's because we can use network to impose some constraints on topics of text. 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,21,101.86,105.71600000000001,So for example it's reasonable to assume that authors 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,22,105.71600000000001,110.56,connected in collaboration networks tend to write about the similar topics. 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,23,113.75999999999999,117.85,So such heuristics can be used to guide us in analyzing topics. 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,24,117.85,126.54,Text also can help characterize the content associated with each subnetwork. 
5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).srt,25,126.54,130.52,And this is to say that both 
